archivo,run,norm,metric,qe,dba,diffusion,mAP,num_queries
paris_mejor_pipeline_comparison.csv,paris_mejor_pipeline,none,cosine,0,5,100,0.8119,55
paris_r_dba5dif100_comparison.csv,paris_r_dba5dif100,none,cosine,0,5,100,0.8116,55
paris_r_dif50_comparison.csv,paris_r_dif50,none,cosine,0,0,50,0.8105,55
oxford_paris_juntos_comparison.csv,oxford_paris_juntos,none,cosine,0,5,100,0.7586,110
r4_seeds5_comparison.csv,r4_seeds5,none,cosine,0,5,100,0.7053,55
r4_seeds5_qual_comparison.csv,r4_seeds5_qual,none,cosine,0,5,100,0.7053,55
r4_dif150_comparison.csv,r4_dif150,none,cosine,0,5,150,0.696,55
r3_dif100_a0.9_comparison.csv,r3_dif100_a0.9,none,cosine,0,5,100,0.696,55
r4_dif200_comparison.csv,r4_dif200,none,cosine,0,5,200,0.6949,55
r3_dif100_a0.95_comparison.csv,r3_dif100_a0.95,none,cosine,0,5,100,0.6936,55
r3_dif50_a0.9_comparison.csv,r3_dif50_a0.9,none,cosine,0,5,50,0.6826,55
r3_dif50_a0.95_comparison.csv,r3_dif50_a0.95,none,cosine,0,5,50,0.6824,55
r2_dba3dif50_comparison.csv,r2_dba3dif50,none,cosine,0,3,50,0.6817,55
r4_seeds20_comparison.csv,r4_seeds20,none,cosine,0,5,100,0.6801,55
r2_dif50_comparison.csv,r2_dif50,none,cosine,0,0,50,0.678,55
r3_dif20_a0.95_comparison.csv,r3_dif20_a0.95,none,cosine,0,5,20,0.6632,55
r3_dif20_a0.9_comparison.csv,r3_dif20_a0.9,none,cosine,0,5,20,0.6631,55
r3_dif50_a0.99_comparison.csv,r3_dif50_a0.99,none,cosine,0,5,50,0.6547,55
r3_dif100_a0.99_comparison.csv,r3_dif100_a0.99,none,cosine,0,5,100,0.6492,55
r3_dif20_a0.99_comparison.csv,r3_dif20_a0.99,none,cosine,0,5,20,0.6419,55
paris_r_dba3qe10_comparison.csv,paris_r_dba3qe10,none,cosine,10,3,0,0.6278,55
paris_r_dba5_comparison.csv,paris_r_dba5,none,cosine,0,5,0,0.6125,55
r2_dba3qe10_comparison.csv,r2_dba3qe10,none,cosine,10,3,0,0.5945,55
r2_dba5_comparison.csv,r2_dba5,none,cosine,0,5,0,0.5817,55
paris_r_qe10_comparison.csv,paris_r_qe10,none,cosine,10,0,0,0.5813,55
r2_dba3_comparison.csv,r2_dba3,none,cosine,0,3,0,0.5694,55
