dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_1,keble,keble_000245,7,4,5063,0.733405,0.734896,1.0,1.0,0.5,0.25
oxford,keble_4,keble,keble_000028,7,4,5063,0.725524,0.730498,1.0,0.8,0.5,0.25
oxford,keble_2,keble,keble_000214,7,4,5063,0.598803,0.601305,1.0,0.8,0.4,0.2
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.552778,0.555472,1.0,1.0,1.0,0.55
oxford,keble_3,keble,keble_000227,7,4,5063,0.550276,0.554936,1.0,0.8,0.4,0.2
oxford,keble_5,keble,keble_000055,7,4,5063,0.543407,0.551737,1.0,0.6,0.4,0.25
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.466481,0.467406,1.0,1.0,1.0,0.95
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.398767,0.401405,1.0,1.0,0.8,0.4
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.350067,0.352996,1.0,0.8,0.8,0.85
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.338641,0.341643,1.0,0.8,0.8,0.8
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.336085,0.33649,1.0,0.4,0.2,0.1
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.310386,0.312527,1.0,1.0,1.0,0.65
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.294614,0.296977,1.0,0.6,0.6,0.6
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.281251,0.282908,1.0,0.8,0.9,0.6
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.276678,0.278124,1.0,1.0,0.9,0.8
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.259707,0.262096,1.0,0.8,0.7,0.7
