dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_1,keble,keble_000245,7,4,5063,0.601479,0.604177,1.0,0.8,0.4,0.2
oxford,keble_4,keble,keble_000028,7,4,5063,0.468742,0.496315,1.0,0.6,0.5,0.25
oxford,keble_2,keble,keble_000214,7,4,5063,0.465545,0.469596,1.0,0.6,0.3,0.2
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.408537,0.410915,1.0,1.0,0.8,0.45
oxford,keble_3,keble,keble_000227,7,4,5063,0.356233,0.380224,1.0,0.6,0.3,0.2
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.334833,0.336467,1.0,1.0,0.9,0.7
oxford,keble_5,keble,keble_000055,7,4,5063,0.304014,0.324659,1.0,0.4,0.3,0.15
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.266535,0.270779,1.0,0.6,0.7,0.55
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.227222,0.230626,1.0,0.8,0.4,0.3
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.220758,0.223273,1.0,0.6,0.3,0.3
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.216273,0.217908,1.0,1.0,0.7,0.45
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.21022,0.21235,1.0,0.6,0.6,0.5
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.195209,0.197641,1.0,0.8,0.5,0.4
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.195031,0.202798,1.0,0.2,0.2,0.1
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.176971,0.189266,1.0,0.4,0.2,0.1
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.17596,0.178471,1.0,0.2,0.1,0.05
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.174148,0.178213,1.0,0.6,0.4,0.35
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.170763,0.171822,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.168972,0.16942,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.168733,0.169137,1.0,0.2,0.1,0.05
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.164678,0.175608,1.0,0.2,0.2,0.1
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.157946,0.16295,1.0,0.6,0.4,0.3
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.153978,0.15887,1.0,0.4,0.3,0.3
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.144627,0.149478,1.0,0.4,0.3,0.3
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.142141,0.144317,1.0,0.8,0.6,0.45
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.131487,0.135819,1.0,0.2,0.1,0.05
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.130488,0.13427,1.0,0.2,0.1,0.05
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.1282,0.134188,1.0,0.4,0.4,0.3
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.121587,0.123487,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.114733,0.118542,1.0,0.2,0.2,0.25
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.113155,0.118754,1.0,0.4,0.3,0.25
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.108993,0.112133,1.0,0.6,0.4,0.3
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.104375,0.108425,1.0,0.2,0.1,0.1
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.100293,0.102437,1.0,0.2,0.1,0.05
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.10007,0.102561,1.0,0.2,0.1,0.05
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.09577,0.097595,1.0,0.2,0.1,0.05
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.095677,0.100342,1.0,0.4,0.2,0.25
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.091119,0.092181,1.0,0.2,0.1,0.05
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.083565,0.086932,1.0,0.2,0.1,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.079869,0.084452,1.0,0.4,0.2,0.1
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.070471,0.073771,1.0,0.4,0.3,0.2
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.065979,0.068892,1.0,0.2,0.1,0.1
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.061454,0.064891,1.0,0.2,0.2,0.1
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.051968,0.053811,1.0,0.2,0.1,0.1
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.050981,0.051805,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.049811,0.051202,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.047689,0.048422,1.0,0.2,0.1,0.05
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.047377,0.048167,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.040651,0.041952,1.0,0.2,0.1,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.036319,0.037189,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.031325,0.032546,1.0,0.2,0.2,0.1
