dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_4,keble,keble_000028,7,4,5063,0.921088,0.92381,1.0,1.0,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.871865,0.876984,1.0,1.0,0.6,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.859775,0.86305,1.0,1.0,0.6,0.3
oxford,keble_5,keble,keble_000055,7,4,5063,0.859775,0.86305,1.0,1.0,0.6,0.3
oxford,keble_1,keble,keble_000245,7,4,5063,0.850898,0.853684,1.0,1.0,0.6,0.3
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.590478,0.594731,1.0,1.0,0.8,0.6
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.483052,0.486811,1.0,1.0,0.8,0.5
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.450979,0.452034,1.0,1.0,1.0,0.9
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.440019,0.440917,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.425721,0.426596,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.421813,0.422616,1.0,1.0,1.0,0.95
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.403297,0.405699,1.0,1.0,1.0,0.7
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.395464,0.398438,1.0,1.0,0.9,0.6
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.391929,0.392681,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.353422,0.354219,1.0,1.0,1.0,1.0
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.341241,0.346263,1.0,0.8,0.9,0.6
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.341112,0.342481,1.0,0.4,0.2,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.340994,0.342289,1.0,0.4,0.2,0.1
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.315867,0.320192,1.0,1.0,0.5,0.3
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.313824,0.316163,1.0,1.0,0.8,0.65
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.295027,0.29662,1.0,1.0,0.9,0.75
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.277684,0.279506,1.0,1.0,1.0,0.7
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.276479,0.277791,1.0,1.0,1.0,0.8
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.275357,0.279007,1.0,0.8,0.7,0.65
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.236064,0.238049,1.0,1.0,0.8,0.55
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.231294,0.232938,1.0,1.0,0.5,0.25
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.226475,0.228348,1.0,1.0,0.8,0.65
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.213929,0.218938,1.0,0.4,0.2,0.1
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.212961,0.217889,1.0,0.8,0.6,0.4
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.197824,0.210442,1.0,0.4,0.2,0.15
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.186618,0.201148,1.0,0.4,0.3,0.2
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.181674,0.195773,1.0,0.4,0.3,0.2
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.181557,0.18516,1.0,0.8,0.6,0.55
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.180011,0.182879,1.0,0.2,0.1,0.05
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.174071,0.185785,1.0,0.4,0.2,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.173868,0.180507,1.0,0.4,0.4,0.25
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.170913,0.171961,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.170882,0.171873,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.147756,0.158439,1.0,0.4,0.2,0.15
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.144404,0.151474,1.0,0.2,0.1,0.1
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.144303,0.1505,1.0,0.2,0.1,0.1
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.128991,0.135482,1.0,0.2,0.1,0.2
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.11595,0.116936,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.113908,0.119153,1.0,0.2,0.1,0.1
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.111785,0.114704,1.0,0.4,0.3,0.15
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.106265,0.109811,1.0,0.4,0.3,0.15
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.077208,0.081995,1.0,0.2,0.2,0.1
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.07531,0.079165,1.0,0.2,0.1,0.15
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.062665,0.064158,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.047785,0.048342,1.0,0.4,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.047744,0.049948,1.0,0.4,0.2,0.1
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.047099,0.047549,1.0,0.4,0.2,0.1
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.046965,0.049672,1.0,0.4,0.2,0.1
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.031863,0.032835,1.0,0.2,0.1,0.05
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.027897,0.028234,1.0,0.2,0.1,0.05
