dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_1,keble,keble_000245,7,4,5063,0.944161,0.947846,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.888022,0.89229,1.0,1.0,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.821355,0.826984,1.0,1.0,0.5,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.817505,0.822511,1.0,1.0,0.5,0.3
oxford,keble_4,keble,keble_000028,7,4,5063,0.785523,0.794414,1.0,0.8,0.6,0.3
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.56722,0.567921,1.0,1.0,1.0,1.0
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.49413,0.496299,1.0,1.0,0.9,0.55
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.428972,0.430227,1.0,1.0,1.0,0.9
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.372764,0.37482,1.0,1.0,0.8,0.45
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.350276,0.351269,1.0,1.0,1.0,0.95
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.337094,0.339574,1.0,1.0,0.9,0.65
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.336582,0.337095,1.0,0.4,0.2,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.336184,0.336587,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.330117,0.331277,1.0,1.0,0.9,0.85
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.324602,0.328454,1.0,0.8,0.8,0.75
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.322159,0.323135,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.31796,0.319808,1.0,0.6,0.8,0.85
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.317166,0.320393,1.0,1.0,0.8,0.6
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.273658,0.276514,1.0,1.0,0.7,0.65
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.271255,0.276459,1.0,0.8,0.8,0.5
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.270323,0.272246,1.0,1.0,0.9,0.6
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.25164,0.254399,1.0,1.0,0.7,0.6
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.21882,0.221725,1.0,1.0,0.6,0.45
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.204197,0.210579,1.0,0.6,0.5,0.3
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.201148,0.206322,1.0,0.6,0.6,0.45
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.196791,0.209257,1.0,0.4,0.2,0.1
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.196504,0.200594,1.0,0.4,0.3,0.2
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.172864,0.184943,1.0,0.2,0.2,0.15
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.172169,0.173609,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.171007,0.17187,1.0,0.2,0.1,0.05
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.169817,0.174788,1.0,0.6,0.4,0.4
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.169663,0.170317,1.0,0.2,0.1,0.05
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.160946,0.172933,1.0,0.4,0.2,0.15
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.155598,0.166931,1.0,0.4,0.2,0.15
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.148926,0.159861,1.0,0.4,0.3,0.15
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.148372,0.156628,1.0,0.2,0.2,0.1
