dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.397428,0.398948,1.0,1.0,1.0,0.8
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.357931,0.359477,1.0,1.0,0.9,0.8
oxford,keble_1,keble,keble_000245,7,4,5063,0.334613,0.341235,1.0,0.4,0.2,0.15
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.27027,0.276735,1.0,0.4,0.3,0.15
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.252521,0.257438,1.0,0.6,0.5,0.5
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.2378,0.240236,1.0,0.4,0.2,0.1
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.230861,0.234527,1.0,0.8,0.6,0.55
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.229439,0.233229,1.0,0.8,0.6,0.4
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.223061,0.228878,1.0,0.6,0.5,0.5
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.222989,0.235782,1.0,0.4,0.2,0.1
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.205067,0.209438,1.0,0.8,0.5,0.35
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.200809,0.202195,1.0,1.0,0.7,0.75
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.186682,0.187942,1.0,1.0,0.9,0.65
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.179162,0.182753,1.0,0.2,0.1,0.05
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.176869,0.180825,1.0,0.6,0.6,0.35
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.171323,0.173081,1.0,0.8,0.8,0.6
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.170707,0.171687,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.169144,0.169557,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.168793,0.169196,1.0,0.2,0.1,0.05
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.160667,0.171181,1.0,0.2,0.2,0.15
