dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_1,keble,keble_000245,7,4,5063,0.944161,0.947846,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.932653,0.936735,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.904167,0.909524,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.870493,0.87619,1.0,1.0,0.6,0.35
oxford,keble_4,keble,keble_000028,7,4,5063,0.823325,0.832875,1.0,0.8,0.6,0.35
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.589054,0.589705,1.0,1.0,1.0,1.0
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.479235,0.480993,1.0,1.0,1.0,0.5
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.447966,0.449068,1.0,1.0,1.0,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.409181,0.411989,1.0,0.8,0.8,0.9
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.382596,0.385657,1.0,1.0,0.9,0.65
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.382513,0.383388,1.0,1.0,1.0,0.95
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.380486,0.383012,1.0,1.0,0.9,0.75
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.371935,0.373949,1.0,1.0,1.0,0.75
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.357992,0.358971,1.0,1.0,1.0,0.9
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.355673,0.357583,1.0,1.0,0.7,0.45
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.352841,0.353682,1.0,1.0,1.0,1.0
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.336458,0.336926,1.0,0.4,0.2,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.335942,0.336307,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.335549,0.337079,1.0,1.0,0.9,0.8
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.313919,0.319159,1.0,0.8,0.8,0.65
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.313557,0.315864,1.0,1.0,0.8,0.7
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.283734,0.286233,1.0,1.0,0.7,0.75
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.26937,0.271804,1.0,1.0,0.8,0.6
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.246344,0.251372,1.0,0.6,0.6,0.3
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.219573,0.224977,1.0,0.6,0.6,0.55
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.218441,0.223005,1.0,0.4,0.4,0.3
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.211673,0.226031,1.0,0.6,0.3,0.15
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.198504,0.211242,1.0,0.4,0.2,0.15
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.195945,0.198109,1.0,1.0,0.8,0.45
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.195893,0.200927,1.0,0.8,0.5,0.35
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.190196,0.203821,1.0,0.4,0.3,0.15
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.178549,0.182269,1.0,0.6,0.4,0.2
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.174039,0.185986,1.0,0.4,0.3,0.15
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.172155,0.17319,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.171427,0.172611,1.0,0.2,0.1,0.05
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.16993,0.181438,1.0,0.2,0.2,0.15
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.169586,0.170224,1.0,0.2,0.1,0.05
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.162232,0.172799,1.0,0.4,0.2,0.1
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.151208,0.159155,1.0,0.2,0.1,0.15
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.150313,0.154828,1.0,0.2,0.3,0.25
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.142871,0.150869,1.0,0.2,0.1,0.15
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.136242,0.145231,1.0,0.2,0.3,0.25
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.124047,0.12776,1.0,0.4,0.2,0.15
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.116516,0.117509,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.103246,0.105929,1.0,0.2,0.1,0.05
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.100356,0.102631,1.0,0.4,0.2,0.15
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.071176,0.074335,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.053718,0.055342,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.049913,0.051168,1.0,0.2,0.1,0.05
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.047498,0.047919,1.0,0.4,0.2,0.1
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.047182,0.047553,1.0,0.4,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.041951,0.043746,1.0,0.2,0.2,0.1
