dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_1,keble,keble_000245,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.937771,0.940476,1.0,1.0,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.916497,0.921429,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.858344,0.863095,1.0,1.0,0.6,0.3
oxford,keble_4,keble,keble_000028,7,4,5063,0.709624,0.740136,1.0,0.8,0.6,0.35
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.601726,0.602344,1.0,1.0,1.0,1.0
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.471162,0.472756,1.0,1.0,1.0,0.5
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.445445,0.446586,1.0,1.0,1.0,0.95
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.414411,0.416159,1.0,1.0,1.0,0.85
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.407112,0.409881,1.0,0.8,0.9,0.9
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.406672,0.40969,1.0,1.0,0.9,0.6
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.401842,0.402644,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.39709,0.399575,1.0,1.0,0.9,0.75
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.371899,0.372678,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.364466,0.365381,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.350238,0.351653,1.0,1.0,0.9,0.85
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.336677,0.337169,1.0,0.4,0.2,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.336209,0.336622,1.0,0.4,0.2,0.1
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.335945,0.338622,1.0,1.0,0.7,0.4
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.333368,0.335145,1.0,1.0,1.0,0.8
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.319391,0.32651,1.0,0.6,0.8,0.7
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.310415,0.312386,1.0,1.0,0.9,0.75
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.270257,0.273824,1.0,0.8,0.7,0.45
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.269549,0.271994,1.0,1.0,0.8,0.6
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.25688,0.258719,1.0,1.0,0.9,0.6
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.237516,0.241494,1.0,0.8,0.4,0.3
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.226062,0.232923,1.0,0.6,0.6,0.5
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.208015,0.213117,1.0,0.8,0.6,0.45
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.203492,0.216918,1.0,0.4,0.2,0.15
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.199638,0.214761,1.0,0.4,0.3,0.15
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.198074,0.212432,1.0,0.6,0.3,0.15
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.197453,0.200919,1.0,0.4,0.2,0.1
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.182194,0.196218,1.0,0.4,0.2,0.2
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.176778,0.189458,1.0,0.2,0.2,0.2
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.174178,0.18593,1.0,0.4,0.2,0.1
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.174079,0.17566,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.171229,0.172336,1.0,0.2,0.1,0.05
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.169602,0.172735,1.0,0.6,0.4,0.2
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.169121,0.169604,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.158181,0.163015,1.0,0.4,0.4,0.3
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.154968,0.163889,1.0,0.2,0.2,0.15
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.137207,0.146224,1.0,0.2,0.3,0.25
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.12987,0.134012,1.0,0.4,0.3,0.15
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.115586,0.116411,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.105171,0.108275,1.0,0.2,0.1,0.05
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.103787,0.106385,1.0,0.4,0.3,0.15
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.07118,0.074358,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.054359,0.056167,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.049673,0.050857,1.0,0.2,0.1,0.05
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.048275,0.048797,1.0,0.4,0.2,0.1
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.047539,0.04796,1.0,0.4,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.044108,0.046208,1.0,0.4,0.2,0.1
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.039703,0.041466,1.0,0.2,0.2,0.1
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.03297,0.034011,1.0,0.2,0.1,0.1
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.027986,0.028311,1.0,0.2,0.1,0.05
