dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.349876,0.352476,1.0,1.0,0.8,0.8
oxford,keble_1,keble,keble_000245,7,4,5063,0.334718,0.359622,1.0,0.4,0.4,0.2
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.334591,0.336142,1.0,1.0,0.9,0.65
oxford,keble_2,keble,keble_000214,7,4,5063,0.318072,0.323067,1.0,0.4,0.2,0.15
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.254372,0.2589,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.236779,0.238216,1.0,1.0,0.8,0.65
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.223589,0.225159,1.0,1.0,0.7,0.6
oxford,keble_3,keble,keble_000227,7,4,5063,0.218003,0.232365,1.0,0.4,0.2,0.1
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.207691,0.221591,1.0,0.4,0.2,0.15
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.197559,0.199974,1.0,0.6,0.8,0.55
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.185783,0.189804,1.0,0.8,0.6,0.45
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.184542,0.190018,1.0,0.4,0.4,0.35
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.184215,0.188214,1.0,0.8,0.5,0.45
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.181878,0.186498,1.0,0.8,0.6,0.35
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.180052,0.182225,1.0,0.4,0.3,0.2
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.179402,0.183097,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.177089,0.180097,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.175434,0.180905,1.0,0.4,0.4,0.4
