run,normalization,metric,database,exclude_query,query_expansion,qe_alpha,dba,diffusion,diffusion_alpha,num_queries,mAP,mAP_simple,mP@1,mP@5,mP@10,mP@20
bovw_k1000,none,cosine,same,False,0,,0,0,,55,0.278258,0.283114,1.0,0.596364,0.476364,0.370909
bovw_k1000,none,l2,same,False,0,,0,0,,55,0.247497,0.251703,1.0,0.556364,0.438182,0.322727
bovw_k1000,none,chi2,same,False,0,,0,0,,55,0.281486,0.28541,1.0,0.589091,0.469091,0.349091
bovw_k1000,none,hellinger,same,False,0,,0,0,,55,0.259912,0.263686,1.0,0.563636,0.432727,0.323636
bovw_k1000,none,intersection,same,False,0,,0,0,,55,0.287086,0.291419,1.0,0.607273,0.489091,0.363636
bovw_k1000,l1,cosine,same,False,0,,0,0,,55,0.278258,0.283114,1.0,0.596364,0.476364,0.370909
bovw_k1000,l1,l2,same,False,0,,0,0,,55,0.247497,0.251703,1.0,0.556364,0.438182,0.322727
bovw_k1000,l1,chi2,same,False,0,,0,0,,55,0.281486,0.28541,1.0,0.589091,0.469091,0.349091
bovw_k1000,l1,hellinger,same,False,0,,0,0,,55,0.259912,0.263686,1.0,0.563636,0.432727,0.323636
bovw_k1000,l1,intersection,same,False,0,,0,0,,55,0.287086,0.291419,1.0,0.607273,0.489091,0.363636
bovw_k1000,l2,cosine,same,False,0,,0,0,,55,0.278258,0.283114,1.0,0.596364,0.476364,0.370909
bovw_k1000,l2,l2,same,False,0,,0,0,,55,0.278242,0.283097,1.0,0.596364,0.476364,0.370909
bovw_k1000,l2,chi2,same,False,0,,0,0,,55,0.285694,0.289377,1.0,0.632727,0.483636,0.36
bovw_k1000,l2,hellinger,same,False,0,,0,0,,55,0.259912,0.263686,1.0,0.563636,0.432727,0.323636
bovw_k1000,l2,intersection,same,False,0,,0,0,,55,0.135684,0.138567,1.0,0.352727,0.245455,0.184545
bovw_k1000,power,cosine,same,False,0,,0,0,,55,0.259912,0.263686,1.0,0.563636,0.432727,0.323636
bovw_k1000,power,l2,same,False,0,,0,0,,55,0.259912,0.263686,1.0,0.563636,0.432727,0.323636
bovw_k1000,power,chi2,same,False,0,,0,0,,55,0.213537,0.217008,1.0,0.476364,0.36,0.268182
bovw_k1000,power,hellinger,same,False,0,,0,0,,55,0.155217,0.159379,1.0,0.385455,0.258182,0.181818
bovw_k1000,power,intersection,same,False,0,,0,0,,55,0.133323,0.136711,1.0,0.338182,0.232727,0.167273
bovw_k1000,hellinger,cosine,same,False,0,,0,0,,55,0.259912,0.263686,1.0,0.563636,0.432727,0.323636
bovw_k1000,hellinger,l2,same,False,0,,0,0,,55,0.259912,0.263686,1.0,0.563636,0.432727,0.323636
bovw_k1000,hellinger,chi2,same,False,0,,0,0,,55,0.213537,0.217008,1.0,0.476364,0.36,0.268182
bovw_k1000,hellinger,hellinger,same,False,0,,0,0,,55,0.155216,0.159378,1.0,0.385455,0.258182,0.181818
bovw_k1000,hellinger,intersection,same,False,0,,0,0,,55,0.133323,0.136711,1.0,0.338182,0.232727,0.167273
