dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.237263,0.239338,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.22869,0.230109,1.0,1.0,0.9,0.6
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.183735,0.185986,1.0,1.0,0.6,0.45
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.174345,0.175735,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.170892,0.171615,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.17008,0.170711,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.169863,0.170521,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.168359,0.168647,1.0,0.2,0.1,0.05
oxford,keble_2,keble,keble_000214,7,4,5063,0.156723,0.160461,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.154463,0.157546,1.0,0.2,0.1,0.05
oxford,keble_3,keble,keble_000227,7,4,5063,0.150157,0.151891,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.149435,0.151486,1.0,0.4,0.2,0.2
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.148176,0.156236,1.0,0.2,0.2,0.15
oxford,keble_5,keble,keble_000055,7,4,5063,0.144673,0.14504,1.0,0.2,0.1,0.05
oxford,keble_4,keble,keble_000028,7,4,5063,0.144493,0.14473,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.142711,0.144203,1.0,0.8,0.5,0.35
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.140409,0.148312,1.0,0.4,0.2,0.1
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.136492,0.141244,1.0,0.2,0.1,0.05
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.135661,0.139368,1.0,0.6,0.3,0.15
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.126099,0.12962,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.126001,0.128026,1.0,0.4,0.3,0.25
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.120604,0.125175,1.0,0.4,0.5,0.4
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.114018,0.114397,1.0,0.2,0.1,0.05
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.10043,0.107705,1.0,0.4,0.3,0.15
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.095974,0.098156,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.095195,0.096227,1.0,0.2,0.1,0.1
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.094694,0.097168,1.0,0.2,0.1,0.1
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.093277,0.09503,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.091821,0.093246,1.0,0.2,0.1,0.05
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.082261,0.087417,1.0,0.2,0.2,0.15
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.082097,0.084772,1.0,0.4,0.3,0.2
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.081062,0.084537,1.0,0.4,0.3,0.25
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.080365,0.083283,1.0,0.2,0.3,0.15
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.07969,0.081709,1.0,0.4,0.2,0.1
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.077342,0.081703,1.0,0.2,0.1,0.1
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.072888,0.077498,1.0,0.2,0.2,0.15
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.067322,0.069793,1.0,0.2,0.2,0.15
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.066962,0.069634,1.0,0.2,0.1,0.1
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.06603,0.069617,1.0,0.2,0.1,0.1
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.06487,0.066698,1.0,0.2,0.1,0.1
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.064082,0.066601,1.0,0.2,0.3,0.15
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.058749,0.059668,1.0,0.4,0.2,0.1
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.05867,0.061659,1.0,0.2,0.2,0.1
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.053726,0.054999,1.0,0.2,0.1,0.05
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.053002,0.056107,1.0,0.2,0.3,0.15
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.050646,0.052369,1.0,0.2,0.1,0.1
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.04814,0.048606,1.0,0.2,0.1,0.05
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.046709,0.047042,1.0,0.2,0.1,0.05
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.045499,0.046956,1.0,0.2,0.1,0.05
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.042032,0.043256,1.0,0.2,0.1,0.05
