dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.234239,0.235881,1.0,0.8,0.9,0.6
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.232514,0.233882,1.0,0.4,0.2,0.1
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.197149,0.211863,1.0,0.4,0.3,0.15
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.190857,0.193255,1.0,1.0,0.7,0.5
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.178103,0.180699,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.169914,0.170457,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.169457,0.169965,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.16843,0.168744,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.1679,0.168096,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.157702,0.161562,1.0,0.2,0.1,0.05
oxford,keble_2,keble,keble_000214,7,4,5063,0.15435,0.157366,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.150967,0.153089,1.0,0.4,0.2,0.3
oxford,keble_3,keble,keble_000227,7,4,5063,0.148657,0.149981,1.0,0.2,0.1,0.05
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.147853,0.154238,1.0,0.2,0.1,0.05
oxford,keble_5,keble,keble_000055,7,4,5063,0.144765,0.14515,1.0,0.2,0.1,0.05
oxford,keble_4,keble,keble_000028,7,4,5063,0.144419,0.144653,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.136578,0.138122,1.0,0.6,0.6,0.35
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.13371,0.138722,1.0,0.2,0.1,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.131538,0.135974,1.0,0.4,0.3,0.2
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.128437,0.132957,1.0,0.4,0.3,0.25
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.12588,0.127668,1.0,0.6,0.3,0.45
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.119305,0.122633,1.0,0.6,0.5,0.45
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.1184,0.119514,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.115661,0.122628,1.0,0.2,0.2,0.1
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.103741,0.110631,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.097449,0.098509,1.0,0.2,0.1,0.05
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.096703,0.099854,1.0,0.2,0.1,0.1
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.096552,0.099123,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.093814,0.095898,1.0,0.2,0.1,0.05
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.092856,0.099552,1.0,0.4,0.2,0.15
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.091728,0.09443,1.0,0.4,0.2,0.15
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.090988,0.092328,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.081524,0.084933,1.0,0.6,0.3,0.25
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.076627,0.078264,1.0,0.6,0.3,0.15
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.072402,0.075011,1.0,0.2,0.2,0.1
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.0693,0.073228,1.0,0.6,0.3,0.2
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.069078,0.072008,1.0,0.2,0.2,0.1
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.066967,0.06951,1.0,0.2,0.2,0.15
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.065887,0.069618,1.0,0.2,0.2,0.1
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.062999,0.066005,1.0,0.4,0.3,0.2
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.061912,0.065518,1.0,0.2,0.2,0.15
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.058492,0.062206,1.0,0.4,0.2,0.2
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.057348,0.059627,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.054231,0.056922,1.0,0.2,0.2,0.1
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.050738,0.052253,1.0,0.2,0.1,0.1
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.048033,0.049537,1.0,0.2,0.1,0.1
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.047799,0.048263,1.0,0.2,0.1,0.05
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.047017,0.047522,1.0,0.2,0.1,0.05
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.045167,0.047009,1.0,0.2,0.2,0.1
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.042207,0.044144,1.0,0.2,0.1,0.15
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.036691,0.037504,1.0,0.2,0.1,0.05
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.035378,0.036382,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.031699,0.032927,1.0,0.2,0.2,0.1
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.029557,0.030078,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.027811,0.028199,1.0,0.2,0.1,0.05
