dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.177279,0.179018,1.0,0.8,0.7,0.5
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.172038,0.173237,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.171294,0.172195,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.168428,0.168737,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.168245,0.168544,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.167609,0.167749,1.0,0.2,0.1,0.05
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.156931,0.159342,1.0,0.8,0.7,0.4
oxford,keble_3,keble,keble_000227,7,4,5063,0.154999,0.158403,1.0,0.2,0.1,0.05
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.154842,0.164434,1.0,0.2,0.2,0.1
oxford,keble_2,keble,keble_000214,7,4,5063,0.146461,0.14719,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.145945,0.146572,1.0,0.2,0.1,0.05
oxford,keble_5,keble,keble_000055,7,4,5063,0.144869,0.145287,1.0,0.2,0.1,0.05
oxford,keble_4,keble,keble_000028,7,4,5063,0.144443,0.14468,1.0,0.2,0.1,0.05
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.141429,0.143178,1.0,0.6,0.3,0.2
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.138038,0.140114,1.0,0.6,0.3,0.2
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.131968,0.136261,1.0,0.2,0.1,0.05
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.129988,0.13413,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.129499,0.131194,1.0,0.4,0.4,0.3
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.124852,0.127462,1.0,0.2,0.1,0.05
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.115329,0.115891,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.112616,0.119096,1.0,0.2,0.2,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.099444,0.1059,1.0,0.4,0.2,0.1
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.096256,0.099123,1.0,0.2,0.1,0.1
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.094689,0.099055,1.0,0.2,0.2,0.2
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.093045,0.094779,1.0,0.2,0.1,0.05
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.090525,0.091848,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.089103,0.089986,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.088809,0.090522,1.0,0.4,0.3,0.25
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.076481,0.080697,1.0,0.2,0.1,0.15
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.0759,0.079639,1.0,0.2,0.1,0.1
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.072891,0.076032,1.0,0.4,0.3,0.25
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.070613,0.074641,1.0,0.4,0.2,0.1
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.068237,0.070665,1.0,0.4,0.2,0.1
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.067271,0.070366,1.0,0.4,0.2,0.1
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.066203,0.068774,1.0,0.4,0.3,0.15
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.064161,0.066562,1.0,0.2,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.063689,0.065139,1.0,0.4,0.2,0.1
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.062328,0.064129,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.061406,0.064752,1.0,0.2,0.1,0.15
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.060933,0.063718,1.0,0.2,0.1,0.1
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.058774,0.059312,1.0,0.2,0.1,0.05
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.054132,0.055732,1.0,0.2,0.1,0.05
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.051858,0.053851,1.0,0.4,0.2,0.1
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.049358,0.0499,1.0,0.2,0.1,0.05
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.047331,0.048335,1.0,0.2,0.1,0.05
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.047122,0.049396,1.0,0.2,0.2,0.15
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.046209,0.046476,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.045199,0.045608,1.0,0.2,0.1,0.05
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.043474,0.044839,1.0,0.2,0.1,0.1
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.036474,0.037085,1.0,0.2,0.1,0.05
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.035099,0.036034,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.033362,0.034846,1.0,0.2,0.1,0.1
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.032738,0.033409,1.0,0.2,0.1,0.05
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.030183,0.030715,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.026314,0.026737,1.0,0.2,0.1,0.05
