dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.312403,0.321126,1.0,0.6,0.3,0.2
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.294407,0.301277,1.0,0.6,0.3,0.15
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.29132,0.297741,1.0,0.6,0.3,0.15
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.247893,0.248934,1.0,1.0,1.0,0.8
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.23674,0.238265,1.0,1.0,0.8,0.65
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.235122,0.23626,1.0,1.0,0.9,0.8
oxford,keble_3,keble,keble_000227,7,4,5063,0.232475,0.245358,1.0,0.4,0.2,0.1
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.228582,0.23121,1.0,1.0,0.8,0.5
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.22001,0.223514,1.0,0.8,0.7,0.45
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.219896,0.2224,1.0,0.4,0.7,0.7
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.189579,0.193534,1.0,0.8,0.6,0.35
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.176914,0.179479,1.0,0.2,0.1,0.05
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.173009,0.173695,1.0,0.4,0.2,0.1
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.171832,0.172883,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.169434,0.170112,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.169095,0.169533,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.168277,0.168522,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.15843,0.162649,1.0,0.2,0.1,0.1
oxford,keble_2,keble,keble_000214,7,4,5063,0.157673,0.161257,1.0,0.2,0.1,0.05
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.157388,0.163044,1.0,0.6,0.3,0.25
oxford,keble_5,keble,keble_000055,7,4,5063,0.151542,0.153526,1.0,0.2,0.1,0.05
oxford,keble_4,keble,keble_000028,7,4,5063,0.145445,0.145865,1.0,0.2,0.1,0.05
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.141801,0.149988,1.0,0.4,0.2,0.1
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.128984,0.13256,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.12561,0.133623,1.0,0.4,0.2,0.1
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.12344,0.126154,1.0,0.6,0.4,0.3
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.116368,0.119878,1.0,0.4,0.3,0.15
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.115179,0.115783,1.0,0.2,0.1,0.05
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.112514,0.11578,1.0,0.4,0.3,0.35
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.111964,0.118244,1.0,0.2,0.2,0.1
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.10592,0.108799,1.0,0.6,0.4,0.3
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.104124,0.105847,1.0,0.4,0.2,0.1
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.104025,0.111614,1.0,0.4,0.3,0.2
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.095167,0.097425,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.092261,0.094957,1.0,0.4,0.4,0.25
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.091057,0.092192,1.0,0.4,0.2,0.1
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.090278,0.095712,1.0,0.2,0.2,0.15
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.090224,0.091107,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.086479,0.087356,1.0,0.4,0.2,0.15
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.078677,0.080763,1.0,0.4,0.2,0.15
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.074054,0.076913,1.0,0.2,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.067248,0.069086,1.0,0.4,0.2,0.15
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.062885,0.065008,1.0,0.2,0.1,0.05
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.06191,0.064022,1.0,0.2,0.2,0.15
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.056188,0.058315,1.0,0.4,0.2,0.1
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.055424,0.056856,1.0,0.2,0.1,0.05
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.053307,0.055074,1.0,0.2,0.1,0.1
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.049851,0.05133,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.045284,0.045858,1.0,0.2,0.1,0.05
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.042664,0.043701,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.041876,0.043014,1.0,0.2,0.1,0.05
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.037476,0.038411,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.036103,0.037582,1.0,0.2,0.1,0.1
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.033425,0.033936,1.0,0.2,0.1,0.05
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.02989,0.030389,1.0,0.2,0.1,0.05
