dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.441157,0.44589,1.0,0.8,0.4,0.2
oxford,keble_2,keble,keble_000214,7,4,5063,0.38991,0.399962,1.0,0.6,0.3,0.15
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.382019,0.382726,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.335321,0.337189,1.0,1.0,1.0,0.65
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.329698,0.331959,1.0,1.0,0.8,0.75
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.30625,0.306766,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.298902,0.299409,1.0,1.0,1.0,1.0
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.28473,0.292572,1.0,0.4,0.3,0.15
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.266234,0.270992,1.0,0.8,0.6,0.35
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.257595,0.260128,1.0,1.0,0.8,0.55
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.251669,0.25272,1.0,1.0,1.0,0.85
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.246247,0.249994,1.0,0.4,0.2,0.15
oxford,keble_3,keble,keble_000227,7,4,5063,0.243052,0.260181,1.0,0.2,0.3,0.15
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.213141,0.215672,1.0,1.0,0.7,0.35
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.210077,0.212297,1.0,0.8,0.9,0.65
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.206841,0.212052,1.0,0.4,0.2,0.15
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.205945,0.206742,1.0,1.0,1.0,0.9
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.195726,0.207952,1.0,0.4,0.2,0.1
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.189352,0.193099,1.0,0.6,0.4,0.25
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.185072,0.18899,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.18019,0.181845,1.0,0.4,0.2,0.1
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.17546,0.17778,1.0,0.2,0.1,0.05
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.175049,0.17601,1.0,1.0,0.9,0.6
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.170975,0.172077,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.17075,0.171752,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.170344,0.171212,1.0,0.2,0.1,0.05
oxford,keble_5,keble,keble_000055,7,4,5063,0.163711,0.168464,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.156922,0.160126,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.156428,0.159078,1.0,0.8,0.7,0.45
oxford,keble_4,keble,keble_000028,7,4,5063,0.144901,0.145252,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.135157,0.142466,1.0,0.4,0.2,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.134654,0.139309,1.0,0.4,0.3,0.2
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.129356,0.137764,1.0,0.2,0.2,0.15
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.124605,0.126261,1.0,1.0,0.6,0.45
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.119337,0.121283,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.108963,0.111434,1.0,0.6,0.3,0.15
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.099405,0.104685,1.0,0.4,0.3,0.25
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.096782,0.102883,1.0,0.4,0.2,0.15
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.091053,0.091992,1.0,0.4,0.2,0.1
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.090889,0.097193,1.0,0.4,0.3,0.15
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.085879,0.086283,1.0,0.2,0.1,0.05
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.080249,0.085789,1.0,0.2,0.2,0.15
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.078347,0.079448,1.0,0.6,0.3,0.15
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.070565,0.075205,1.0,0.2,0.2,0.1
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.065328,0.068056,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.061471,0.062285,1.0,0.2,0.1,0.1
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.057135,0.059709,1.0,0.2,0.2,0.15
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.047583,0.049889,1.0,0.4,0.2,0.15
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.04354,0.04494,1.0,0.2,0.1,0.1
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.043206,0.045079,1.0,0.2,0.1,0.1
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.04283,0.044048,1.0,0.2,0.1,0.1
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.03654,0.037499,1.0,0.2,0.1,0.05
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.034726,0.035893,1.0,0.2,0.1,0.1
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.032033,0.033229,1.0,0.2,0.2,0.1
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.029355,0.02993,1.0,0.2,0.1,0.05
