w_vlad,w_global,mAP,mAP_simple,mP@1,mP@5,mP@10,mP@20
0.0,1.0,0.164412,0.167699,1.0,0.476364,0.356364,0.257273
0.1,0.9,0.194219,0.198266,1.0,0.530909,0.383636,0.283636
0.2,0.8,0.240803,0.245377,1.0,0.567273,0.429091,0.328182
0.3,0.7,0.30541,0.310575,1.0,0.625455,0.496364,0.386364
0.4,0.6,0.37792,0.382648,1.0,0.709091,0.552727,0.433636
0.5,0.5,0.436153,0.440701,1.0,0.763636,0.609091,0.482727
0.6,0.4,0.480129,0.485078,1.0,0.781818,0.649091,0.528182
0.7,0.3,0.5177,0.521719,1.0,0.821818,0.681818,0.546364
0.8,0.2,0.531951,0.535621,1.0,0.84,0.687273,0.553636
0.9,0.1,0.533679,0.537158,1.0,0.836364,0.694545,0.556364
1.0,0.0,0.528195,0.531706,1.0,0.836364,0.689091,0.542727
