dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.405271,0.405972,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.384646,0.385301,1.0,1.0,1.0,1.0
oxford,keble_5,keble,keble_000055,7,4,5063,0.361287,0.370953,1.0,0.4,0.3,0.15
oxford,keble_2,keble,keble_000214,7,4,5063,0.354036,0.362828,1.0,0.4,0.2,0.2
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.283196,0.285134,1.0,1.0,0.9,0.6
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.273661,0.275394,1.0,1.0,1.0,0.7
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.27136,0.274507,1.0,1.0,0.7,0.55
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.244403,0.247938,1.0,0.4,0.2,0.15
oxford,keble_1,keble,keble_000245,7,4,5063,0.243949,0.258548,1.0,0.4,0.2,0.1
oxford,keble_3,keble,keble_000227,7,4,5063,0.232698,0.245522,1.0,0.4,0.2,0.1
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.227396,0.232154,1.0,0.8,0.5,0.25
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.226975,0.227661,1.0,0.4,0.2,0.1
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.200036,0.202195,1.0,1.0,0.7,0.45
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.182394,0.186999,1.0,0.2,0.1,0.1
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.171428,0.172605,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.171293,0.172655,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.170466,0.170876,1.0,0.4,0.2,0.1
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.169834,0.171405,1.0,1.0,0.7,0.4
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.169197,0.169611,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.168923,0.16942,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.16742,0.168338,1.0,1.0,1.0,0.75
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.151555,0.160456,1.0,0.4,0.2,0.1
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.148345,0.159414,1.0,0.2,0.3,0.2
oxford,keble_4,keble,keble_000028,7,4,5063,0.148305,0.149197,1.0,0.2,0.1,0.05
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.143006,0.152359,1.0,0.4,0.4,0.2
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.135734,0.138006,1.0,0.8,0.6,0.35
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.126362,0.128892,1.0,0.8,0.6,0.45
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.116401,0.117422,1.0,0.2,0.1,0.05
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.115467,0.123517,1.0,0.6,0.3,0.15
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.113244,0.113531,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.108201,0.113035,1.0,0.2,0.1,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.107636,0.115054,1.0,0.4,0.3,0.15
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.105678,0.107006,1.0,0.8,0.8,0.55
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.105051,0.109169,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.101724,0.105942,1.0,0.2,0.1,0.1
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.097647,0.099515,1.0,0.8,0.5,0.35
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.083116,0.088668,1.0,0.4,0.3,0.15
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.07328,0.074303,1.0,0.6,0.3,0.2
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.071652,0.07441,1.0,0.2,0.1,0.05
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.069818,0.074338,1.0,0.2,0.2,0.1
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.069208,0.070987,1.0,0.4,0.2,0.2
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.058243,0.059857,1.0,0.4,0.3,0.15
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.053865,0.054892,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.048472,0.049092,1.0,0.2,0.1,0.05
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.047892,0.050428,1.0,0.4,0.3,0.2
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.047625,0.048021,1.0,0.2,0.1,0.05
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.047597,0.048804,1.0,0.2,0.1,0.05
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.039205,0.040986,1.0,0.4,0.2,0.1
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.038672,0.039497,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.038,0.039824,1.0,0.2,0.2,0.1
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.037978,0.039581,1.0,0.2,0.1,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.035591,0.036581,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.031961,0.032412,1.0,0.2,0.1,0.05
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.027624,0.028051,1.0,0.2,0.1,0.05
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.025237,0.025539,1.0,0.2,0.1,0.05
