dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.333947,0.334687,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.328967,0.329579,1.0,1.0,1.0,1.0
oxford,keble_5,keble,keble_000055,7,4,5063,0.271483,0.289584,1.0,0.4,0.2,0.1
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.236849,0.239219,1.0,0.4,0.2,0.1
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.236229,0.237926,1.0,1.0,0.9,0.65
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.233181,0.236335,1.0,1.0,0.6,0.55
oxford,keble_2,keble,keble_000214,7,4,5063,0.232832,0.248816,1.0,0.4,0.2,0.1
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.229756,0.232566,1.0,1.0,0.7,0.45
oxford,keble_3,keble,keble_000227,7,4,5063,0.212148,0.225608,1.0,0.4,0.2,0.1
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.197294,0.205415,1.0,0.2,0.1,0.1
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.191107,0.193216,1.0,1.0,0.7,0.4
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.183851,0.188699,1.0,0.2,0.1,0.1
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.183621,0.187525,1.0,0.6,0.4,0.25
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.175331,0.181131,1.0,0.6,0.4,0.2
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.172727,0.174515,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.171785,0.17283,1.0,1.0,0.9,0.75
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.169663,0.170324,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.169174,0.17561,1.0,0.2,0.1,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.169111,0.169574,1.0,0.2,0.1,0.05
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.167417,0.168972,1.0,1.0,0.7,0.55
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.162715,0.172723,1.0,0.4,0.2,0.1
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.162371,0.16358,1.0,1.0,0.7,0.35
oxford,keble_4,keble,keble_000028,7,4,5063,0.147207,0.147898,1.0,0.2,0.1,0.05
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.145634,0.153729,1.0,0.2,0.2,0.1
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.121058,0.127465,1.0,0.2,0.1,0.15
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.119656,0.121081,1.0,0.8,0.6,0.5
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.118313,0.119899,1.0,0.2,0.1,0.05
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.114376,0.114925,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.108956,0.114848,1.0,0.2,0.2,0.1
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.106866,0.108482,1.0,0.8,0.6,0.45
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.103947,0.107513,1.0,0.6,0.4,0.3
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.102771,0.106511,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.101401,0.105024,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.09524,0.097095,1.0,0.4,0.2,0.15
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.090233,0.09161,1.0,0.2,0.1,0.05
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.087548,0.093663,1.0,0.2,0.2,0.15
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.082649,0.087894,1.0,0.2,0.2,0.1
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.076059,0.08129,1.0,0.2,0.3,0.15
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.071207,0.072078,1.0,0.6,0.3,0.2
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.068876,0.069536,1.0,0.6,0.3,0.15
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.064755,0.066721,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.055179,0.055667,1.0,0.2,0.1,0.05
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.053945,0.056664,1.0,0.2,0.2,0.1
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.052781,0.055313,1.0,0.6,0.3,0.2
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.052625,0.053506,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.048722,0.049653,1.0,0.2,0.1,0.05
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.048004,0.050232,1.0,0.4,0.2,0.15
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.038607,0.040139,1.0,0.2,0.1,0.1
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.037929,0.038603,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.037115,0.038805,1.0,0.4,0.2,0.1
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.036062,0.037466,1.0,0.2,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.035951,0.037211,1.0,0.2,0.1,0.1
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.029658,0.030062,1.0,0.2,0.1,0.05
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.02748,0.027911,1.0,0.2,0.1,0.05
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.026334,0.026718,1.0,0.2,0.1,0.05
