dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.406649,0.407345,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.381118,0.381778,1.0,1.0,1.0,1.0
oxford,keble_2,keble,keble_000214,7,4,5063,0.343836,0.351564,1.0,0.4,0.2,0.15
oxford,keble_5,keble,keble_000055,7,4,5063,0.304546,0.326374,1.0,0.4,0.3,0.2
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.275468,0.277162,1.0,1.0,1.0,0.75
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.271001,0.272837,1.0,1.0,0.9,0.55
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.254013,0.257158,1.0,1.0,0.7,0.55
oxford,keble_1,keble,keble_000245,7,4,5063,0.24745,0.262671,1.0,0.4,0.2,0.1
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.237785,0.240346,1.0,0.4,0.2,0.1
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.237708,0.242834,1.0,0.8,0.4,0.3
oxford,keble_3,keble,keble_000227,7,4,5063,0.232004,0.244725,1.0,0.4,0.2,0.1
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.227022,0.227724,1.0,0.4,0.2,0.1
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.197101,0.202714,1.0,0.8,0.5,0.25
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.193517,0.195598,1.0,1.0,0.7,0.45
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.182051,0.186587,1.0,0.2,0.1,0.1
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.171169,0.172493,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.170908,0.171927,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.17047,0.170884,1.0,0.4,0.2,0.1
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.169333,0.169981,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.168995,0.169405,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.167941,0.168823,1.0,1.0,1.0,0.7
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.163731,0.165137,1.0,1.0,0.7,0.35
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.151532,0.16043,1.0,0.4,0.2,0.1
oxford,keble_4,keble,keble_000028,7,4,5063,0.148579,0.149535,1.0,0.2,0.1,0.05
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.143668,0.154019,1.0,0.2,0.3,0.15
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.134662,0.136899,1.0,0.8,0.6,0.35
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.11602,0.116941,1.0,0.2,0.1,0.05
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.113327,0.113648,1.0,0.2,0.1,0.05
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.106027,0.113295,1.0,0.4,0.3,0.15
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.105041,0.108048,1.0,0.6,0.5,0.4
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.103991,0.108102,1.0,0.2,0.1,0.1
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.101963,0.106037,1.0,0.2,0.1,0.1
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.100671,0.103808,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.100425,0.101718,1.0,0.8,0.8,0.55
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.090987,0.092632,1.0,0.8,0.5,0.25
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.079209,0.084459,1.0,0.4,0.2,0.15
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.078074,0.083075,1.0,0.2,0.2,0.15
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.07292,0.073938,1.0,0.6,0.3,0.2
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.07265,0.075561,1.0,0.2,0.1,0.1
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.062421,0.064171,1.0,0.6,0.3,0.15
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.061903,0.063578,1.0,0.4,0.2,0.15
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.06073,0.063622,1.0,0.2,0.1,0.1
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.054515,0.055654,1.0,0.2,0.1,0.05
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.047199,0.048328,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.046413,0.046851,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.046317,0.046714,1.0,0.2,0.1,0.05
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.043831,0.046023,1.0,0.4,0.2,0.15
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.041661,0.04274,1.0,0.2,0.1,0.05
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.035968,0.037565,1.0,0.4,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.034949,0.035866,1.0,0.2,0.1,0.05
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.034346,0.035469,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.033796,0.035046,1.0,0.2,0.1,0.1
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.032909,0.033387,1.0,0.2,0.1,0.05
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.027669,0.02814,1.0,0.2,0.1,0.05
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.024587,0.024868,1.0,0.2,0.1,0.05
