dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_2,keble,keble_000214,7,4,5063,0.464214,0.468206,1.0,0.6,0.3,0.15
oxford,keble_5,keble,keble_000055,7,4,5063,0.441956,0.443544,1.0,0.6,0.3,0.15
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.360382,0.360948,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.338901,0.340297,1.0,1.0,0.9,0.85
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.32699,0.327499,1.0,1.0,1.0,1.0
oxford,keble_1,keble,keble_000245,7,4,5063,0.318087,0.322424,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.281334,0.281915,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.267641,0.26873,1.0,1.0,1.0,0.6
oxford,keble_3,keble,keble_000227,7,4,5063,0.230578,0.246519,1.0,0.2,0.3,0.15
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.226074,0.229482,1.0,0.8,0.4,0.25
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.19603,0.198148,1.0,1.0,0.7,0.45
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.183414,0.187766,1.0,0.2,0.1,0.05
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.182713,0.192942,1.0,0.4,0.2,0.1
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.182026,0.185941,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.177692,0.180451,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.176821,0.179724,1.0,0.2,0.1,0.05
