dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.434915,0.435647,1.0,0.6,0.3,0.15
oxford,keble_2,keble,keble_000214,7,4,5063,0.401441,0.409114,1.0,0.6,0.3,0.15
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.343316,0.343874,1.0,1.0,1.0,1.0
oxford,keble_1,keble,keble_000245,7,4,5063,0.306897,0.30978,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.299282,0.299771,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.274012,0.276343,1.0,1.0,0.8,0.8
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.228603,0.22929,1.0,1.0,1.0,0.95
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.226933,0.227575,1.0,0.4,0.2,0.1
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.203838,0.205311,1.0,1.0,0.8,0.45
oxford,keble_3,keble,keble_000227,7,4,5063,0.193738,0.205384,1.0,0.2,0.2,0.1
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.17398,0.175961,1.0,0.8,0.4,0.2
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.173516,0.175233,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.172702,0.174,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.172223,0.173609,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.171293,0.172558,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.170913,0.171417,1.0,0.4,0.2,0.1
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.170465,0.170885,1.0,0.4,0.2,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.169238,0.169694,1.0,0.2,0.1,0.05
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.155406,0.157028,1.0,1.0,0.7,0.4
oxford,keble_4,keble,keble_000028,7,4,5063,0.150416,0.15218,1.0,0.2,0.1,0.05
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.131979,0.136448,1.0,0.4,0.3,0.15
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.128869,0.129814,1.0,1.0,0.6,0.3
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.127684,0.131842,1.0,0.2,0.1,0.1
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.121647,0.122414,1.0,1.0,0.9,0.55
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.120819,0.123368,1.0,0.2,0.1,0.05
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.114734,0.115415,1.0,0.2,0.1,0.05
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.113857,0.114286,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.112075,0.115132,1.0,0.4,0.3,0.25
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.102252,0.104328,1.0,0.4,0.3,0.15
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.094053,0.095956,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.09119,0.09304,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.090433,0.091822,1.0,0.4,0.2,0.1
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.087182,0.08906,1.0,0.6,0.5,0.25
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.085915,0.086168,1.0,0.2,0.1,0.05
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.070403,0.072133,1.0,0.6,0.3,0.15
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.063258,0.06378,1.0,0.6,0.3,0.15
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.059261,0.060753,1.0,0.6,0.4,0.2
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.059227,0.063043,1.0,0.4,0.4,0.2
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.059172,0.060681,1.0,0.4,0.2,0.15
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.055498,0.058346,1.0,0.2,0.2,0.1
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.055371,0.056918,1.0,0.4,0.4,0.2
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.051987,0.053626,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.04823,0.048595,1.0,0.4,0.2,0.1
