dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.444789,0.446702,1.0,0.6,0.3,0.15
oxford,keble_2,keble,keble_000214,7,4,5063,0.425384,0.435558,1.0,0.6,0.3,0.15
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.335667,0.336212,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.326537,0.327808,1.0,1.0,1.0,0.85
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.316756,0.31725,1.0,1.0,1.0,1.0
oxford,keble_1,keble,keble_000245,7,4,5063,0.307488,0.31061,1.0,0.4,0.2,0.1
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.290836,0.291402,1.0,1.0,1.0,1.0
oxford,keble_3,keble,keble_000227,7,4,5063,0.26151,0.280809,1.0,0.4,0.3,0.15
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.248366,0.252064,1.0,0.8,0.5,0.25
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.229046,0.230128,1.0,1.0,1.0,0.5
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.202747,0.203546,1.0,1.0,1.0,0.85
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.194878,0.196706,1.0,1.0,0.8,0.45
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.181338,0.184757,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.179796,0.182784,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.177282,0.179793,1.0,0.2,0.1,0.05
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.175085,0.176235,1.0,0.4,0.2,0.1
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.175041,0.177311,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.173494,0.174383,1.0,0.4,0.2,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.171972,0.173202,1.0,0.2,0.1,0.05
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.163144,0.166146,1.0,0.6,0.3,0.2
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.155801,0.156852,1.0,1.0,0.7,0.4
oxford,keble_4,keble,keble_000028,7,4,5063,0.151673,0.153572,1.0,0.2,0.1,0.05
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.140542,0.14269,1.0,0.8,0.7,0.45
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.137792,0.144371,1.0,0.2,0.2,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.133895,0.134387,1.0,0.6,0.3,0.15
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.13151,0.136331,1.0,0.2,0.1,0.1
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.125199,0.128947,1.0,0.2,0.1,0.1
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.12461,0.126334,1.0,0.2,0.2,0.15
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.119151,0.122368,1.0,0.4,0.4,0.3
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.117567,0.118796,1.0,0.2,0.1,0.05
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.116527,0.117637,1.0,0.2,0.1,0.05
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.097157,0.099325,1.0,0.6,0.3,0.3
