dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.324276,0.329975,1.0,0.4,0.3,0.15
oxford,keble_3,keble,keble_000227,7,4,5063,0.302057,0.30491,1.0,0.4,0.2,0.1
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.176245,0.17962,1.0,0.8,0.5,0.4
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.16953,0.172514,1.0,0.8,0.6,0.55
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.168493,0.168862,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.168205,0.168498,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.167983,0.168265,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.167684,0.167876,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.167587,0.167755,1.0,0.2,0.1,0.05
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.165552,0.169633,1.0,0.6,0.5,0.45
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.163491,0.165504,1.0,0.4,0.5,0.4
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.159789,0.164501,1.0,0.6,0.4,0.35
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.156142,0.157876,1.0,0.6,0.5,0.35
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.155651,0.157454,1.0,0.6,0.5,0.5
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.148148,0.151179,1.0,0.8,0.4,0.35
oxford,keble_4,keble,keble_000028,7,4,5063,0.145916,0.146721,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.144613,0.144972,1.0,0.2,0.1,0.05
oxford,keble_2,keble,keble_000214,7,4,5063,0.144074,0.144275,1.0,0.2,0.1,0.05
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.140496,0.147007,1.0,0.2,0.1,0.1
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.128786,0.131761,1.0,0.2,0.1,0.05
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.123074,0.131837,1.0,0.4,0.3,0.25
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.122005,0.123949,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.121907,0.129303,1.0,0.4,0.2,0.1
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.113114,0.116012,1.0,0.4,0.2,0.1
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.112985,0.113275,1.0,0.2,0.1,0.05
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.11245,0.112602,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.110549,0.111815,1.0,0.2,0.2,0.1
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.109525,0.115546,1.0,0.2,0.2,0.1
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.093151,0.095531,1.0,0.2,0.1,0.1
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.092672,0.094734,1.0,0.2,0.1,0.05
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.091287,0.096289,1.0,0.4,0.3,0.25
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.09072,0.092339,1.0,0.2,0.1,0.05
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.07692,0.080909,1.0,0.4,0.2,0.2
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.072418,0.075077,1.0,0.2,0.2,0.1
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.066713,0.067643,1.0,0.2,0.1,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.066266,0.070162,1.0,0.4,0.4,0.2
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.062832,0.064631,1.0,0.2,0.1,0.05
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.058408,0.06087,1.0,0.2,0.1,0.1
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.057493,0.060178,1.0,0.2,0.1,0.1
