dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.309715,0.313705,1.0,0.4,0.2,0.15
oxford,keble_3,keble,keble_000227,7,4,5063,0.302576,0.305516,1.0,0.4,0.2,0.1
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.168332,0.168659,1.0,0.2,0.1,0.05
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.168247,0.168548,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.168003,0.168277,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.167629,0.167798,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.167527,0.167675,1.0,0.2,0.1,0.05
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.156893,0.160454,1.0,0.8,0.4,0.4
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.155422,0.156962,1.0,0.8,0.6,0.45
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.148733,0.151007,1.0,0.4,0.4,0.35
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.148135,0.151298,1.0,0.6,0.5,0.3
oxford,keble_4,keble,keble_000028,7,4,5063,0.145837,0.146631,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.144598,0.144967,1.0,0.2,0.1,0.05
oxford,keble_2,keble,keble_000214,7,4,5063,0.144041,0.144238,1.0,0.2,0.1,0.05
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.139989,0.143429,1.0,0.8,0.5,0.5
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.138849,0.140756,1.0,0.6,0.6,0.4
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.13407,0.143605,1.0,0.4,0.4,0.25
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.130715,0.134427,1.0,0.6,0.5,0.35
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.126095,0.129214,1.0,0.2,0.1,0.05
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.125182,0.127352,1.0,0.2,0.1,0.05
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.124947,0.130983,1.0,0.6,0.4,0.25
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.119706,0.12132,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.113848,0.115107,1.0,0.2,0.2,0.1
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.112738,0.112982,1.0,0.2,0.1,0.05
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.112521,0.115431,1.0,0.4,0.2,0.15
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.112321,0.112457,1.0,0.2,0.1,0.05
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.095321,0.098361,1.0,0.2,0.1,0.1
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.093376,0.095674,1.0,0.2,0.1,0.05
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.093138,0.095572,1.0,0.2,0.1,0.1
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.091929,0.093811,1.0,0.2,0.1,0.05
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.088148,0.088936,1.0,0.2,0.1,0.05
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.069112,0.071051,1.0,0.2,0.1,0.05
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.067845,0.071612,1.0,0.4,0.2,0.15
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.065626,0.069489,1.0,0.4,0.2,0.2
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.063427,0.066671,1.0,0.2,0.2,0.15
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.061615,0.063894,1.0,0.2,0.1,0.2
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.057379,0.058114,1.0,0.2,0.1,0.05
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.055754,0.058174,1.0,0.2,0.1,0.1
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.054783,0.055894,1.0,0.2,0.1,0.05
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.052589,0.053977,1.0,0.2,0.1,0.05
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.051863,0.053797,1.0,0.2,0.2,0.1
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.050572,0.051412,1.0,0.2,0.1,0.05
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.046154,0.046465,1.0,0.2,0.1,0.05
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.045911,0.046372,1.0,0.2,0.1,0.05
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.045488,0.045914,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.045372,0.045888,1.0,0.2,0.1,0.05
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.043935,0.045822,1.0,0.4,0.2,0.1
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.042643,0.043879,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.038613,0.039945,1.0,0.2,0.1,0.05
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.035473,0.036433,1.0,0.2,0.1,0.1
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.034824,0.035827,1.0,0.2,0.1,0.05
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.033884,0.034686,1.0,0.2,0.1,0.05
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.032843,0.033556,1.0,0.2,0.1,0.05
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.031415,0.031973,1.0,0.2,0.1,0.05
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.026636,0.027038,1.0,0.2,0.1,0.05
