dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.32424,0.329935,1.0,0.4,0.3,0.15
oxford,keble_3,keble,keble_000227,7,4,5063,0.300318,0.302893,1.0,0.4,0.2,0.1
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.177056,0.180445,1.0,0.8,0.5,0.4
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.170173,0.172815,1.0,0.8,0.6,0.5
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.16858,0.168967,1.0,0.2,0.1,0.05
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.168315,0.168634,1.0,0.2,0.1,0.05
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.16797,0.16825,1.0,0.2,0.1,0.05
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.167677,0.167868,1.0,0.2,0.1,0.05
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.167582,0.167749,1.0,0.2,0.1,0.05
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.160342,0.16234,1.0,0.4,0.5,0.4
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.158239,0.162919,1.0,0.6,0.4,0.35
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.154321,0.15604,1.0,0.6,0.5,0.35
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.154237,0.158184,1.0,0.6,0.4,0.45
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.153929,0.155721,1.0,0.6,0.5,0.55
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.153222,0.155968,1.0,0.8,0.4,0.35
oxford,keble_4,keble,keble_000028,7,4,5063,0.145944,0.146764,1.0,0.2,0.1,0.05
oxford,keble_1,keble,keble_000245,7,4,5063,0.144652,0.145029,1.0,0.2,0.1,0.05
oxford,keble_2,keble,keble_000214,7,4,5063,0.144071,0.144272,1.0,0.2,0.1,0.05
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.138766,0.144879,1.0,0.2,0.1,0.1
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.128721,0.131668,1.0,0.2,0.1,0.05
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.128032,0.137216,1.0,0.4,0.3,0.25
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.121777,0.129164,1.0,0.4,0.2,0.1
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.121745,0.123634,1.0,0.2,0.1,0.05
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.11689,0.120323,1.0,0.4,0.2,0.15
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.112958,0.113242,1.0,0.2,0.1,0.05
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.112433,0.112582,1.0,0.2,0.1,0.05
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.112327,0.118846,1.0,0.2,0.2,0.1
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.112043,0.113449,1.0,0.4,0.2,0.1
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.093541,0.096031,1.0,0.2,0.1,0.1
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.092251,0.094192,1.0,0.2,0.1,0.05
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.090715,0.095695,1.0,0.4,0.3,0.25
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.090631,0.092226,1.0,0.2,0.1,0.05
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.078868,0.08299,1.0,0.4,0.2,0.2
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.070628,0.073236,1.0,0.2,0.2,0.1
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.067817,0.069765,1.0,0.2,0.1,0.05
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.065589,0.069476,1.0,0.4,0.3,0.2
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.064673,0.065569,1.0,0.2,0.1,0.1
