dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.979534,0.979955,1.0,1.0,1.0,0.95
oxford,keble_1,keble,keble_000245,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.957038,0.957876,1.0,1.0,1.0,0.95
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.95306,0.954004,1.0,1.0,1.0,0.95
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.951782,0.952738,1.0,1.0,1.0,0.85
oxford,keble_4,keble,keble_000028,7,4,5063,0.945455,0.948052,1.0,1.0,0.6,0.35
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.883157,0.883587,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.880226,0.880687,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.877846,0.878316,1.0,1.0,1.0,1.0
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.87255,0.873041,1.0,1.0,1.0,1.0
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.867644,0.868121,1.0,1.0,1.0,1.0
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.859954,0.862124,1.0,1.0,0.7,0.85
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.847699,0.848336,1.0,1.0,1.0,1.0
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.838411,0.838858,1.0,1.0,0.5,0.25
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.837362,0.837719,1.0,1.0,0.5,0.25
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.836229,0.836488,1.0,1.0,0.5,0.25
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.829511,0.829717,1.0,1.0,1.0,1.0
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.823336,0.82438,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.820148,0.820352,1.0,1.0,1.0,1.0
