dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.980867,0.982143,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.951632,0.952421,1.0,1.0,1.0,0.95
oxford,keble_3,keble,keble_000227,7,4,5063,0.932568,0.937925,1.0,0.8,0.7,0.35
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.90405,0.905459,1.0,1.0,1.0,0.9
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.90336,0.905256,1.0,1.0,1.0,0.9
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.899471,0.90084,1.0,1.0,1.0,0.9
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.888787,0.892157,1.0,1.0,0.5,0.3
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.862399,0.864583,1.0,1.0,0.5,0.25
oxford,keble_1,keble,keble_000245,7,4,5063,0.858759,0.873639,1.0,0.8,0.7,0.35
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.846905,0.848039,1.0,1.0,0.5,0.25
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.834937,0.835082,1.0,1.0,0.5,0.25
oxford,keble_4,keble,keble_000028,7,4,5063,0.82239,0.834066,1.0,0.8,0.6,0.35
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.806167,0.811211,1.0,1.0,0.8,0.8
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.785778,0.786034,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.768781,0.769716,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.754352,0.755012,1.0,1.0,1.0,1.0
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.751696,0.752976,1.0,1.0,1.0,0.85
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.747304,0.747651,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.737849,0.738181,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.731125,0.732418,1.0,1.0,1.0,1.0
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.724502,0.729306,1.0,1.0,0.7,0.4
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.705958,0.70632,1.0,1.0,1.0,1.0
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.689563,0.691776,1.0,0.8,0.4,0.2
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.685402,0.685771,1.0,1.0,1.0,1.0
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.662477,0.663757,1.0,1.0,1.0,0.9
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.661739,0.664866,1.0,1.0,0.7,0.4
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.659091,0.660617,1.0,1.0,1.0,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.659063,0.660183,1.0,1.0,1.0,0.9
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.656305,0.657315,1.0,1.0,1.0,1.0
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.642108,0.643173,1.0,1.0,1.0,0.9
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.6401,0.641065,1.0,1.0,1.0,1.0
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.633007,0.634806,1.0,1.0,0.9,0.9
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.579067,0.582016,1.0,1.0,0.9,0.65
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.571361,0.572583,1.0,1.0,1.0,0.95
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.547931,0.554306,1.0,0.8,0.4,0.3
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.527768,0.529008,1.0,1.0,1.0,1.0
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.50068,0.501859,1.0,1.0,1.0,1.0
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.440359,0.442019,1.0,1.0,0.5,0.25
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.422821,0.429358,1.0,0.6,0.4,0.2
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.407337,0.409956,1.0,1.0,0.8,0.5
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.403863,0.410094,1.0,0.6,0.4,0.25
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.382758,0.389471,1.0,0.8,0.4,0.25
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.370953,0.374177,1.0,1.0,0.7,0.45
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.35239,0.357344,1.0,0.8,0.4,0.2
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.325084,0.334768,1.0,0.6,0.3,0.15
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.302377,0.306595,1.0,0.8,0.7,0.65
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.267308,0.274011,1.0,0.6,0.5,0.3
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.118226,0.119466,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.112987,0.115567,1.0,0.6,0.4,0.3
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.09513,0.099407,1.0,0.2,0.1,0.25
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.081089,0.085551,1.0,0.4,0.3,0.2
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.058896,0.060471,1.0,0.4,0.3,0.15
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.041588,0.042868,1.0,0.2,0.1,0.1
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.039145,0.039809,1.0,0.2,0.1,0.05
