dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.980867,0.982143,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.932568,0.937925,1.0,0.8,0.7,0.35
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.921241,0.922534,1.0,1.0,1.0,0.95
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.885621,0.888889,1.0,1.0,0.5,0.3
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.876679,0.878519,1.0,1.0,1.0,0.85
oxford,keble_1,keble,keble_000245,7,4,5063,0.858759,0.873639,1.0,0.8,0.7,0.35
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.854497,0.857627,1.0,1.0,0.9,0.85
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.847606,0.849597,1.0,1.0,1.0,0.85
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.834845,0.834981,1.0,1.0,0.5,0.25
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.81899,0.823099,1.0,0.8,0.5,0.25
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.809559,0.814435,1.0,1.0,0.8,0.8
oxford,keble_4,keble,keble_000028,7,4,5063,0.796455,0.809916,1.0,0.6,0.6,0.35
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.789106,0.793714,1.0,0.8,0.5,0.25
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.75059,0.751907,1.0,1.0,1.0,0.85
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.749193,0.749471,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.743939,0.744573,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.736288,0.737286,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.730337,0.730659,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.730264,0.730646,1.0,1.0,1.0,1.0
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.718297,0.723013,1.0,1.0,0.7,0.4
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.70435,0.705686,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.698671,0.699031,1.0,1.0,1.0,1.0
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.686418,0.688349,1.0,0.8,0.4,0.2
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.666804,0.667209,1.0,1.0,1.0,1.0
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.652739,0.65372,1.0,1.0,1.0,0.9
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.651228,0.654153,1.0,1.0,0.7,0.4
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.644631,0.645632,1.0,1.0,1.0,0.95
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.642458,0.643568,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.636261,0.637894,1.0,1.0,1.0,0.9
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.630797,0.631829,1.0,1.0,1.0,0.9
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.62132,0.622251,1.0,1.0,1.0,1.0
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.620535,0.622489,1.0,1.0,0.9,0.9
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.561232,0.564262,1.0,1.0,1.0,0.65
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.55367,0.554915,1.0,1.0,1.0,0.95
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.539344,0.545502,1.0,0.8,0.4,0.3
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.505891,0.507044,1.0,1.0,1.0,1.0
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.473582,0.474681,1.0,1.0,1.0,1.0
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.438852,0.440414,1.0,1.0,0.5,0.25
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.433219,0.439463,1.0,0.6,0.4,0.2
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.403381,0.406124,1.0,1.0,0.7,0.5
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.37259,0.378754,1.0,0.8,0.4,0.25
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.368771,0.379458,1.0,0.6,0.4,0.2
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.36207,0.365235,1.0,1.0,0.7,0.45
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.339015,0.344541,1.0,0.6,0.4,0.2
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.323707,0.333265,1.0,0.6,0.3,0.15
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.315195,0.319005,1.0,0.8,0.8,0.6
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.266738,0.273431,1.0,0.6,0.5,0.3
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.118373,0.119634,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.109988,0.112555,1.0,0.6,0.4,0.3
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.094128,0.09844,1.0,0.2,0.2,0.2
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.083638,0.088087,1.0,0.4,0.3,0.2
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.058713,0.060278,1.0,0.4,0.3,0.15
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.04756,0.048535,1.0,0.2,0.1,0.05
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.04221,0.0435,1.0,0.2,0.1,0.1
