dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.835218,0.836932,1.0,1.0,0.6,0.3
oxford,keble_2,keble,keble_000214,7,4,5063,0.809027,0.813123,1.0,0.8,0.6,0.3
oxford,keble_3,keble,keble_000227,7,4,5063,0.760728,0.769245,1.0,0.8,0.6,0.3
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.709604,0.713161,1.0,0.8,0.4,0.25
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.707864,0.711227,1.0,1.0,1.0,0.7
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.688571,0.694309,1.0,0.8,0.8,0.75
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.686169,0.686816,1.0,1.0,1.0,1.0
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.680405,0.681998,1.0,1.0,1.0,0.8
oxford,keble_1,keble,keble_000245,7,4,5063,0.675694,0.701218,1.0,0.8,0.6,0.3
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.667963,0.668102,1.0,0.8,0.4,0.2
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.662864,0.666417,1.0,1.0,0.9,0.65
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.659765,0.660115,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.640511,0.641669,1.0,1.0,1.0,0.95
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.637451,0.642491,1.0,0.8,0.4,0.2
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.632265,0.635462,1.0,1.0,1.0,0.6
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.621629,0.626702,1.0,1.0,0.6,0.35
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.603045,0.603801,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.599607,0.601169,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.592475,0.59293,1.0,1.0,1.0,1.0
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.586835,0.587821,1.0,1.0,1.0,0.95
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.578394,0.579539,1.0,1.0,1.0,0.9
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.577816,0.582291,1.0,1.0,0.8,0.65
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.570823,0.571338,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.566647,0.567106,1.0,1.0,1.0,1.0
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.557302,0.559327,1.0,1.0,0.8,0.85
oxford,keble_4,keble,keble_000028,7,4,5063,0.55679,0.58722,1.0,0.6,0.5,0.3
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.554685,0.560186,1.0,0.6,0.3,0.2
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.547499,0.550101,1.0,1.0,0.6,0.3
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.543701,0.54472,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.530181,0.530749,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.525124,0.527489,1.0,1.0,1.0,0.75
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.498784,0.500062,1.0,1.0,1.0,1.0
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.432412,0.433426,1.0,1.0,1.0,1.0
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.427902,0.429842,1.0,1.0,1.0,0.8
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.419661,0.426875,1.0,0.6,0.3,0.25
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.406813,0.410851,1.0,1.0,0.7,0.4
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.406599,0.407787,1.0,1.0,1.0,0.9
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.39819,0.421049,1.0,0.6,0.3,0.15
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.348765,0.350073,1.0,0.8,0.4,0.2
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.324681,0.327509,1.0,1.0,0.6,0.4
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.304661,0.31254,1.0,0.6,0.3,0.15
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.273974,0.278321,1.0,0.8,0.6,0.35
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.255034,0.261249,1.0,0.6,0.3,0.15
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.22203,0.237624,1.0,0.4,0.2,0.15
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.205872,0.211041,1.0,0.6,0.7,0.5
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.205574,0.210297,1.0,0.4,0.2,0.15
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.177933,0.190331,1.0,0.4,0.2,0.1
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.168161,0.174291,1.0,0.4,0.3,0.25
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.089347,0.092406,1.0,0.4,0.4,0.2
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.067484,0.07201,0.0,0.0,0.0,0.2
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.048686,0.054787,0.0,0.2,0.2,0.15
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.036773,0.038279,0.0,0.0,0.0,0.0
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.035543,0.036891,1.0,0.2,0.1,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.023339,0.02525,0.0,0.0,0.1,0.05
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.00535,0.006759,0.0,0.0,0.0,0.0
