dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.980867,0.982143,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.917971,0.924036,1.0,0.8,0.7,0.35
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.892361,0.895833,1.0,1.0,0.5,0.3
oxford,keble_1,keble,keble_000245,7,4,5063,0.858759,0.873639,1.0,0.8,0.7,0.35
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.839847,0.842102,1.0,1.0,1.0,0.85
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.83476,0.834889,1.0,1.0,0.5,0.25
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.816764,0.820707,1.0,0.8,0.5,0.25
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.81504,0.816918,1.0,1.0,1.0,0.85
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.799447,0.8019,1.0,1.0,1.0,0.75
oxford,keble_4,keble,keble_000028,7,4,5063,0.796455,0.809916,1.0,0.6,0.6,0.35
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.764066,0.769532,1.0,0.8,0.8,0.8
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.751669,0.756849,1.0,0.8,0.5,0.25
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.738593,0.742279,1.0,1.0,0.9,0.8
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.729053,0.730499,1.0,1.0,1.0,0.8
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.72001,0.720619,1.0,1.0,1.0,1.0
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.717179,0.721871,1.0,1.0,0.7,0.4
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.710583,0.710895,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.700735,0.701826,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.686074,0.686444,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.665055,0.6655,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.66284,0.66431,1.0,1.0,1.0,1.0
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.648961,0.655054,1.0,0.8,0.4,0.2
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.646641,0.647068,1.0,1.0,1.0,1.0
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.641991,0.644675,1.0,1.0,0.7,0.35
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.641344,0.642142,1.0,1.0,1.0,0.95
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.637014,0.637992,1.0,1.0,1.0,0.95
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.621806,0.62286,1.0,1.0,1.0,0.95
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.602201,0.604103,1.0,1.0,0.8,0.9
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.593819,0.59482,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.585411,0.587418,1.0,1.0,1.0,0.8
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.572056,0.572571,1.0,1.0,1.0,1.0
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.56632,0.567415,1.0,1.0,1.0,1.0
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.547629,0.553992,1.0,0.8,0.4,0.3
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.49,0.491675,1.0,1.0,1.0,0.9
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.482729,0.483731,1.0,1.0,1.0,1.0
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.482188,0.485648,1.0,1.0,0.9,0.45
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.456534,0.457634,1.0,1.0,1.0,0.95
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.435975,0.437348,1.0,1.0,0.5,0.25
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.431423,0.437536,1.0,0.6,0.4,0.2
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.379879,0.382546,1.0,1.0,0.7,0.45
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.361254,0.371582,1.0,0.6,0.3,0.25
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.358453,0.36379,1.0,0.8,0.4,0.2
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.334854,0.33867,1.0,1.0,0.7,0.45
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.312243,0.321812,1.0,0.4,0.3,0.15
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.298874,0.303251,1.0,0.6,0.3,0.2
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.240971,0.245064,1.0,0.8,0.8,0.55
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.222536,0.228151,1.0,0.6,0.3,0.3
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.118754,0.120089,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.113125,0.11581,1.0,0.6,0.5,0.25
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.094468,0.098591,1.0,0.2,0.1,0.2
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.077687,0.081947,1.0,0.4,0.3,0.2
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.056378,0.057646,1.0,0.4,0.2,0.15
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.045711,0.046742,1.0,0.2,0.1,0.05
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.043248,0.04464,1.0,0.2,0.1,0.1
