dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.97769,0.978152,1.0,1.0,1.0,0.95
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.965567,0.96629,1.0,1.0,1.0,0.95
oxford,keble_1,keble,keble_000245,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.956654,0.95763,1.0,1.0,1.0,0.95
oxford,keble_4,keble,keble_000028,7,4,5063,0.954762,0.957143,1.0,1.0,0.7,0.35
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.944031,0.945252,1.0,1.0,1.0,0.85
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.897194,0.897574,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.896966,0.897348,1.0,1.0,1.0,1.0
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.893817,0.894224,1.0,1.0,1.0,1.0
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.893799,0.895516,1.0,1.0,0.8,0.9
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.892008,0.89242,1.0,1.0,1.0,1.0
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.889437,0.889837,1.0,1.0,1.0,1.0
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.870332,0.871118,1.0,1.0,1.0,0.9
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.840146,0.840741,1.0,1.0,0.5,0.25
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.839182,0.840204,1.0,1.0,1.0,0.95
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.838383,0.838828,1.0,1.0,0.5,0.25
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.837771,0.838164,1.0,1.0,0.5,0.25
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.809164,0.8125,1.0,0.8,0.5,0.25
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.798063,0.806045,1.0,0.6,0.8,0.85
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.791494,0.793752,1.0,1.0,1.0,0.75
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.765684,0.769878,1.0,1.0,0.8,0.45
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.750057,0.754575,1.0,1.0,0.7,0.45
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.749789,0.749959,1.0,1.0,1.0,1.0
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.749223,0.750832,1.0,1.0,1.0,0.8
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.748569,0.753484,1.0,0.8,0.5,0.25
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.736544,0.736691,1.0,1.0,1.0,1.0
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.70944,0.711028,1.0,1.0,1.0,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.705309,0.706616,1.0,1.0,1.0,0.9
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.703062,0.704297,1.0,1.0,1.0,0.9
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.701126,0.702927,1.0,1.0,0.9,0.9
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.699049,0.699618,1.0,1.0,1.0,1.0
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.663723,0.667986,1.0,1.0,0.8,0.75
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.606315,0.613975,1.0,1.0,0.5,0.4
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.575877,0.588224,1.0,0.8,0.5,0.45
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.568033,0.577749,1.0,0.8,0.4,0.45
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.550309,0.550926,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.543116,0.543733,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.542767,0.543385,1.0,1.0,1.0,1.0
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.517482,0.522871,1.0,0.8,0.4,0.25
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.489856,0.493536,1.0,0.8,0.4,0.2
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.479904,0.488719,1.0,0.6,0.4,0.25
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.457271,0.458268,1.0,1.0,1.0,1.0
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.442441,0.443357,1.0,1.0,1.0,1.0
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.438286,0.439183,1.0,1.0,1.0,1.0
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.389689,0.394937,1.0,0.6,0.3,0.2
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.133005,0.135249,1.0,0.8,0.4,0.3
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.11329,0.117052,1.0,0.6,0.4,0.25
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.112714,0.112934,1.0,0.2,0.1,0.05
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.07889,0.080167,1.0,0.6,0.3,0.15
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.067547,0.070545,1.0,0.2,0.2,0.1
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.037348,0.038177,1.0,0.2,0.1,0.05
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.022448,0.022701,1.0,0.2,0.1,0.05
