dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_1,keble,keble_000245,7,4,5063,0.980867,0.982143,1.0,1.0,0.7,0.35
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.974206,0.97619,1.0,1.0,0.6,0.3
oxford,keble_3,keble,keble_000227,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.932568,0.937925,1.0,0.8,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.883019,0.889848,1.0,0.8,0.6,0.35
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.817424,0.825758,1.0,0.8,0.4,0.3
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.809209,0.812549,1.0,0.8,0.5,0.25
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.764864,0.76754,1.0,1.0,1.0,0.75
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.736272,0.741575,1.0,0.8,0.4,0.25
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.671604,0.673594,1.0,1.0,1.0,0.7
oxford,keble_4,keble,keble_000028,7,4,5063,0.621541,0.654566,1.0,0.6,0.5,0.35
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.620438,0.639129,1.0,0.6,0.5,0.25
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.589699,0.595078,1.0,1.0,0.8,0.7
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.551463,0.553833,1.0,0.8,0.9,0.9
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.544227,0.545179,1.0,1.0,1.0,1.0
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.541809,0.547546,1.0,1.0,0.5,0.4
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.54134,0.542851,1.0,1.0,1.0,0.9
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.525131,0.52628,1.0,1.0,1.0,0.95
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.51552,0.524783,1.0,0.8,0.8,0.55
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.497759,0.498703,1.0,1.0,1.0,0.95
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.485772,0.487675,1.0,1.0,0.9,0.9
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.476522,0.4793,1.0,0.8,0.4,0.2
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.475327,0.47966,1.0,1.0,0.7,0.55
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.472212,0.47346,1.0,1.0,1.0,0.9
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.457925,0.460622,1.0,1.0,0.9,0.5
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.454395,0.455747,1.0,1.0,1.0,0.85
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.45249,0.458214,1.0,0.8,0.5,0.25
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.428991,0.430598,1.0,1.0,1.0,0.85
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.427449,0.428016,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.38621,0.386606,1.0,1.0,1.0,1.0
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.367033,0.370682,1.0,0.6,0.3,0.15
