dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.981301,0.981685,1.0,1.0,1.0,0.95
oxford,keble_1,keble,keble_000245,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.958436,0.959274,1.0,1.0,1.0,0.95
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.958436,0.959274,1.0,1.0,1.0,0.95
oxford,keble_4,keble,keble_000028,7,4,5063,0.945455,0.948052,1.0,1.0,0.6,0.35
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.942243,0.94355,1.0,1.0,1.0,0.85
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.934612,0.934685,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.93433,0.934404,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.933335,0.933411,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.924041,0.924144,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.917464,0.917576,1.0,1.0,1.0,1.0
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.902004,0.903472,1.0,1.0,0.8,0.9
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.870507,0.871009,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.865544,0.866043,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.865134,0.865653,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.864865,0.865376,1.0,1.0,1.0,1.0
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.860744,0.861255,1.0,1.0,1.0,1.0
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.855404,0.856336,1.0,1.0,1.0,0.9
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.845118,0.845653,1.0,1.0,1.0,1.0
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.838837,0.839321,1.0,1.0,0.5,0.25
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.837416,0.837778,1.0,1.0,0.5,0.25
