dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.975194,0.975696,1.0,1.0,1.0,0.95
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.958436,0.959274,1.0,1.0,1.0,0.95
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.958436,0.959274,1.0,1.0,1.0,0.95
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.953174,0.954161,1.0,1.0,1.0,0.9
oxford,keble_3,keble,keble_000227,7,4,5063,0.932568,0.937925,1.0,0.8,0.7,0.35
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.923727,0.923834,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.921184,0.921297,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.918981,0.919099,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.915363,0.915484,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.904465,0.904597,1.0,1.0,1.0,1.0
oxford,keble_1,keble,keble_000245,7,4,5063,0.900425,0.909354,1.0,0.8,0.7,0.35
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.894986,0.89669,1.0,0.8,0.9,0.95
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.87161,0.8721,1.0,1.0,1.0,1.0
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.866612,0.871324,1.0,1.0,0.8,0.9
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.866189,0.866745,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.861626,0.862159,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.858531,0.859112,1.0,1.0,1.0,1.0
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.857961,0.858473,1.0,1.0,1.0,1.0
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.851131,0.851691,1.0,1.0,1.0,1.0
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.838772,0.83925,1.0,1.0,0.5,0.25
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.838195,0.838624,1.0,1.0,0.5,0.25
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.835994,0.836232,1.0,1.0,0.5,0.25
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.829678,0.830816,1.0,1.0,1.0,0.85
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.826848,0.827894,1.0,1.0,1.0,0.95
oxford,keble_4,keble,keble_000028,7,4,5063,0.819898,0.832993,1.0,0.6,0.7,0.35
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.806934,0.81008,1.0,0.8,0.5,0.25
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.805033,0.808013,1.0,0.8,0.5,0.25
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.791135,0.795044,1.0,1.0,0.8,0.5
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.780531,0.784182,1.0,1.0,0.8,0.45
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.770421,0.77281,1.0,1.0,1.0,0.8
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.759007,0.76046,1.0,1.0,1.0,1.0
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.746425,0.747611,1.0,1.0,1.0,0.8
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.711467,0.713088,1.0,1.0,1.0,1.0
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.709063,0.710695,1.0,1.0,1.0,1.0
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.704796,0.709879,1.0,1.0,0.7,0.45
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.696791,0.698336,1.0,1.0,1.0,0.9
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.693447,0.694707,1.0,1.0,1.0,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.692716,0.694079,1.0,1.0,1.0,0.9
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.688735,0.690489,1.0,1.0,0.9,0.9
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.663553,0.672359,1.0,0.8,0.7,0.45
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.652612,0.659568,1.0,0.6,0.8,0.85
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.584561,0.599487,1.0,0.6,0.7,0.45
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.528548,0.534322,1.0,0.8,0.4,0.25
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.515035,0.525426,1.0,0.6,0.5,0.3
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.467805,0.475837,1.0,0.6,0.4,0.25
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.432929,0.439031,1.0,0.6,0.4,0.2
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.124017,0.126641,1.0,0.6,0.6,0.3
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.112715,0.112924,1.0,0.2,0.1,0.05
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.076463,0.079897,1.0,0.2,0.1,0.15
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.063207,0.06654,1.0,0.4,0.2,0.15
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.061156,0.062965,1.0,0.4,0.3,0.2
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.035548,0.036215,1.0,0.2,0.1,0.05
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.022014,0.022207,1.0,0.2,0.1,0.05
