dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_3,keble,keble_000227,7,4,5063,0.840179,0.848214,1.0,0.8,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.81912,0.830952,1.0,0.8,0.6,0.35
oxford,keble_1,keble,keble_000245,7,4,5063,0.722253,0.739744,1.0,0.8,0.5,0.3
oxford,keble_5,keble,keble_000055,7,4,5063,0.713913,0.730952,1.0,0.8,0.5,0.3
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.655146,0.661779,1.0,0.8,0.4,0.2
oxford,keble_4,keble,keble_000028,7,4,5063,0.650085,0.682993,1.0,0.6,0.6,0.35
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.630391,0.633779,1.0,1.0,0.7,0.35
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.590748,0.591309,1.0,1.0,1.0,1.0
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.590369,0.602502,1.0,0.8,0.4,0.2
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.55651,0.558252,1.0,1.0,1.0,0.9
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.552216,0.561371,1.0,0.8,0.5,0.35
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.543029,0.543699,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.538613,0.539137,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.502769,0.503613,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.501037,0.502358,1.0,1.0,1.0,0.95
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.493481,0.499895,1.0,0.8,0.5,0.3
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.465693,0.467645,1.0,1.0,1.0,0.85
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.465418,0.467639,1.0,1.0,0.9,0.85
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.462632,0.464729,1.0,1.0,0.9,0.5
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.452559,0.454393,1.0,1.0,1.0,0.9
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.44572,0.44642,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.442708,0.443839,1.0,1.0,0.9,0.9
