dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_2,keble,keble_000214,7,4,5063,0.932653,0.936735,1.0,1.0,0.7,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.925824,0.928571,1.0,1.0,0.6,0.35
oxford,keble_1,keble,keble_000245,7,4,5063,0.900425,0.909354,1.0,0.8,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.853023,0.858824,1.0,1.0,0.6,0.35
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.709756,0.713462,1.0,0.8,0.4,0.25
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.680709,0.682122,1.0,0.8,0.4,0.2
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.677606,0.678731,1.0,0.8,0.4,0.2
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.669551,0.673406,1.0,1.0,0.9,0.75
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.662707,0.663224,1.0,1.0,1.0,1.0
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.596006,0.598943,1.0,1.0,1.0,0.55
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.59375,0.59429,1.0,1.0,1.0,1.0
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.547358,0.562666,1.0,0.6,0.4,0.2
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.547159,0.547779,1.0,1.0,1.0,1.0
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.543537,0.545384,1.0,1.0,0.9,0.9
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.536566,0.537158,1.0,1.0,1.0,1.0
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.534817,0.536544,1.0,1.0,1.0,0.85
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.528729,0.534192,1.0,1.0,0.5,0.35
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.523634,0.525155,1.0,1.0,1.0,0.85
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.522699,0.526705,1.0,1.0,0.6,0.3
oxford,keble_4,keble,keble_000028,7,4,5063,0.506858,0.539486,1.0,0.4,0.4,0.35
