dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.877525,0.884354,1.0,0.8,0.6,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.851263,0.859524,1.0,0.8,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.81912,0.830952,1.0,0.8,0.6,0.35
oxford,keble_1,keble,keble_000245,7,4,5063,0.816497,0.833333,1.0,0.8,0.7,0.35
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.69395,0.696542,1.0,0.8,0.4,0.2
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.670185,0.677815,1.0,0.8,0.4,0.25
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.609738,0.618145,1.0,0.8,0.6,0.35
oxford,keble_4,keble,keble_000028,7,4,5063,0.60003,0.621633,1.0,0.4,0.5,0.3
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.599724,0.600411,1.0,1.0,1.0,1.0
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.588617,0.591667,1.0,1.0,0.7,0.35
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.573127,0.580182,1.0,0.6,0.3,0.2
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.569679,0.5739,1.0,1.0,0.8,0.6
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.55265,0.554389,1.0,1.0,1.0,0.9
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.53967,0.540263,1.0,1.0,1.0,1.0
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.523885,0.52535,1.0,1.0,1.0,0.95
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.506124,0.51548,1.0,0.8,0.5,0.35
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.498327,0.499235,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.491228,0.49185,1.0,1.0,1.0,1.0
