dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.866434,0.871429,1.0,1.0,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.863137,0.869131,1.0,1.0,0.5,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.784152,0.792989,1.0,0.8,0.6,0.3
oxford,keble_1,keble,keble_000245,7,4,5063,0.76712,0.786961,1.0,0.6,0.7,0.35
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.739803,0.745478,1.0,0.8,0.4,0.25
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.722785,0.726971,1.0,0.8,0.4,0.25
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.709644,0.710083,1.0,1.0,1.0,1.0
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.695914,0.699541,1.0,1.0,1.0,0.65
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.67982,0.681139,1.0,0.8,0.4,0.2
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.65971,0.664586,1.0,1.0,0.8,0.75
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.653866,0.660384,1.0,0.8,0.4,0.2
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.608867,0.611813,1.0,1.0,1.0,0.65
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.583847,0.58547,1.0,1.0,1.0,0.9
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.570459,0.580702,1.0,0.8,0.6,0.35
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.562263,0.563539,1.0,1.0,1.0,0.9
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.555208,0.556382,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.543456,0.544044,1.0,1.0,1.0,1.0
oxford,keble_4,keble,keble_000028,7,4,5063,0.543444,0.576557,1.0,0.6,0.5,0.3
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.541767,0.542399,1.0,1.0,1.0,1.0
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.533772,0.543969,1.0,0.8,0.7,0.35
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.533432,0.539055,1.0,0.8,0.8,0.6
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.521414,0.522158,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.510245,0.511654,1.0,1.0,1.0,0.9
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.501916,0.504936,1.0,1.0,0.9,0.5
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.482549,0.483511,1.0,1.0,1.0,1.0
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.480025,0.48238,1.0,1.0,0.9,0.8
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.470047,0.470813,1.0,1.0,1.0,1.0
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.414888,0.421662,1.0,0.6,0.4,0.25
