dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.876254,0.880213,1.0,1.0,0.6,0.3
oxford,keble_2,keble,keble_000214,7,4,5063,0.856643,0.862637,1.0,1.0,0.5,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.78288,0.791667,1.0,0.8,0.6,0.3
oxford,keble_1,keble,keble_000245,7,4,5063,0.76712,0.786961,1.0,0.6,0.7,0.35
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.742673,0.748538,1.0,0.8,0.4,0.25
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.727163,0.731497,1.0,0.8,0.4,0.25
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.697383,0.697842,1.0,1.0,1.0,1.0
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.679523,0.680816,1.0,0.8,0.4,0.2
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.660614,0.664074,1.0,1.0,1.0,0.6
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.652127,0.656953,1.0,1.0,0.8,0.75
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.651173,0.657472,1.0,0.8,0.4,0.2
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.582804,0.58562,1.0,1.0,0.9,0.6
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.571995,0.57368,1.0,1.0,1.0,0.9
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.570329,0.58049,1.0,0.8,0.6,0.35
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.550929,0.552083,1.0,1.0,1.0,0.95
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.549374,0.550607,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.548692,0.549264,1.0,1.0,1.0,1.0
oxford,keble_4,keble,keble_000028,7,4,5063,0.537991,0.571062,1.0,0.6,0.5,0.3
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.523459,0.524139,1.0,1.0,1.0,1.0
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.521265,0.53213,1.0,0.6,0.7,0.35
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.508268,0.50905,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.507917,0.509352,1.0,1.0,1.0,0.9
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.50302,0.50887,1.0,0.8,0.8,0.55
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.497946,0.50094,1.0,1.0,0.9,0.5
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.468988,0.47,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.467231,0.468019,1.0,1.0,1.0,1.0
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.4572,0.459547,1.0,1.0,0.9,0.8
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.421289,0.4282,1.0,0.6,0.4,0.25
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.402876,0.410633,1.0,0.8,0.4,0.2
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.401554,0.404338,1.0,1.0,1.0,0.6
