dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.937771,0.940476,1.0,1.0,0.6,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.901814,0.90873,1.0,0.8,0.7,0.35
oxford,keble_1,keble,keble_000245,7,4,5063,0.845833,0.857143,1.0,0.8,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.830857,0.839436,1.0,0.8,0.6,0.35
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.81072,0.810956,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.778899,0.779182,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.753826,0.754128,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.692298,0.692732,1.0,1.0,1.0,1.0
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.676547,0.677535,1.0,0.8,0.4,0.2
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.652208,0.652783,1.0,1.0,1.0,1.0
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.64388,0.654043,1.0,0.8,0.7,0.45
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.632742,0.634,1.0,1.0,1.0,0.95
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.623323,0.626908,1.0,1.0,1.0,0.55
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.61192,0.6127,1.0,1.0,1.0,1.0
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.602656,0.604095,1.0,1.0,1.0,0.9
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.600585,0.607247,1.0,0.8,0.9,0.65
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.595507,0.598192,1.0,1.0,0.9,0.65
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.588123,0.590525,1.0,0.8,0.9,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.584836,0.585944,1.0,1.0,1.0,0.95
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.570959,0.577178,1.0,1.0,0.7,0.6
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.566288,0.56914,1.0,1.0,1.0,0.55
oxford,keble_4,keble,keble_000028,7,4,5063,0.565578,0.598663,1.0,0.6,0.5,0.35
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.565569,0.567233,1.0,1.0,1.0,0.9
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.562123,0.563853,1.0,1.0,1.0,0.85
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.541435,0.552034,1.0,0.6,0.6,0.3
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.530575,0.533287,1.0,1.0,0.9,0.75
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.52367,0.526541,1.0,0.6,0.3,0.15
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.495974,0.502534,1.0,0.8,0.5,0.25
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.468098,0.474449,1.0,1.0,0.7,0.5
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.467365,0.48184,1.0,0.4,0.4,0.2
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.450874,0.454058,1.0,1.0,0.8,0.55
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.445041,0.446995,1.0,1.0,1.0,0.9
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.430272,0.432616,1.0,1.0,0.8,0.9
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.408653,0.410856,1.0,1.0,1.0,0.75
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.408511,0.416327,1.0,0.6,0.5,0.25
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.401834,0.403246,1.0,1.0,1.0,0.95
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.390909,0.399888,1.0,0.6,0.4,0.2
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.378333,0.3807,1.0,1.0,0.8,0.45
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.377021,0.385894,1.0,0.6,0.4,0.3
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.364249,0.365199,1.0,1.0,1.0,0.95
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.361478,0.363521,1.0,1.0,0.7,0.45
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.361329,0.364987,1.0,0.8,0.6,0.75
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.333861,0.34434,1.0,0.6,0.3,0.15
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.320205,0.337121,1.0,0.8,0.4,0.2
