dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.980867,0.982143,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
paris,pompidou_5,pompidou,paris_pompidou_000636,51,77,6392,0.956998,0.957206,1.0,1.0,1.0,1.0
paris,pompidou_4,pompidou,paris_pompidou_000471,51,77,6392,0.940346,0.940657,1.0,1.0,1.0,1.0
paris,pompidou_2,pompidou,paris_pompidou_000444,51,77,6392,0.923749,0.924172,1.0,1.0,1.0,1.0
oxford,keble_3,keble,keble_000227,7,4,5063,0.917971,0.924036,1.0,0.8,0.7,0.35
paris,pompidou_3,pompidou,paris_pompidou_000252,51,77,6392,0.913539,0.913928,1.0,1.0,1.0,1.0
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.882797,0.885965,1.0,1.0,0.5,0.3
paris,pompidou_1,pompidou,paris_pompidou_000432,51,77,6392,0.881924,0.882543,1.0,1.0,1.0,1.0
paris,sacrecoeur_3,sacrecoeur,paris_sacrecoeur_000237,149,152,6392,0.870343,0.870503,1.0,1.0,1.0,1.0
oxford,keble_1,keble,keble_000245,7,4,5063,0.858759,0.873639,1.0,0.8,0.7,0.35
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.834694,0.834817,1.0,1.0,0.5,0.25
paris,pantheon_2,pantheon,paris_pantheon_000520,126,191,6392,0.834329,0.83455,1.0,1.0,1.0,1.0
paris,notredame_4,notredame,paris_general_003117,119,112,6392,0.830444,0.830669,1.0,1.0,1.0,1.0
paris,pantheon_5,pantheon,paris_pantheon_000339,126,191,6392,0.825049,0.825294,1.0,1.0,1.0,1.0
paris,pantheon_1,pantheon,paris_pantheon_000466,126,191,6392,0.81657,0.81683,1.0,1.0,1.0,1.0
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.812577,0.816194,1.0,0.8,0.5,0.25
paris,notredame_2,notredame,paris_notredame_000965,119,112,6392,0.792667,0.792937,1.0,1.0,1.0,1.0
paris,sacrecoeur_4,sacrecoeur,paris_sacrecoeur_000586,149,152,6392,0.785727,0.785926,1.0,1.0,1.0,1.0
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.755786,0.758875,1.0,1.0,1.0,0.75
oxford,keble_4,keble,keble_000028,7,4,5063,0.749294,0.768707,1.0,0.6,0.6,0.35
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.740632,0.745487,1.0,1.0,0.8,0.75
paris,sacrecoeur_2,sacrecoeur,paris_sacrecoeur_000417,149,152,6392,0.738585,0.738945,1.0,1.0,1.0,1.0
paris,pantheon_4,pantheon,paris_pantheon_000547,126,191,6392,0.732639,0.733017,1.0,1.0,1.0,1.0
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.731358,0.73606,1.0,0.8,0.4,0.25
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.72328,0.724759,1.0,1.0,1.0,0.8
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.71448,0.719123,1.0,1.0,0.7,0.4
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.711136,0.714386,1.0,1.0,0.9,0.7
paris,moulinrouge_2,moulinrouge,paris_moulinrouge_000868,237,103,6392,0.705947,0.706163,1.0,1.0,1.0,1.0
paris,notredame_3,notredame,paris_notredame_000390,119,112,6392,0.704182,0.704535,1.0,1.0,1.0,1.0
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.70007,0.700702,1.0,1.0,1.0,1.0
paris,museedorsay_1,museedorsay,paris_museedorsay_000527,72,15,6392,0.67997,0.681257,1.0,1.0,1.0,0.95
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.679912,0.682894,1.0,1.0,1.0,0.6
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.664783,0.66513,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.661107,0.662224,1.0,1.0,1.0,0.95
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.6357,0.638164,1.0,1.0,0.7,0.35
paris,notredame_1,notredame,paris_notredame_000256,119,112,6392,0.634253,0.63479,1.0,1.0,1.0,1.0
paris,museedorsay_2,museedorsay,paris_museedorsay_000012,72,15,6392,0.62999,0.63236,1.0,1.0,0.9,0.9
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.627771,0.631783,1.0,1.0,0.9,0.65
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.621001,0.622513,1.0,1.0,1.0,0.95
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.617153,0.617884,1.0,1.0,1.0,1.0
paris,pantheon_3,pantheon,paris_pantheon_000232,126,191,6392,0.611185,0.611709,1.0,1.0,1.0,1.0
paris,museedorsay_3,museedorsay,paris_museedorsay_000897,72,15,6392,0.609227,0.610803,1.0,1.0,1.0,0.95
paris,moulinrouge_5,moulinrouge,paris_moulinrouge_000004,237,103,6392,0.603958,0.604295,1.0,1.0,1.0,1.0
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.601389,0.602337,1.0,1.0,1.0,0.95
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.600579,0.61364,1.0,0.8,0.4,0.2
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.597703,0.598154,1.0,1.0,1.0,1.0
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.593253,0.594346,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.576169,0.576678,1.0,1.0,1.0,1.0
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.57379,0.575632,1.0,1.0,0.9,0.9
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.571883,0.572337,1.0,1.0,1.0,1.0
paris,moulinrouge_4,moulinrouge,paris_moulinrouge_000794,237,103,6392,0.570682,0.571139,1.0,1.0,1.0,1.0
paris,louvre_2,louvre,paris_louvre_000135,152,147,6392,0.568998,0.570074,1.0,1.0,1.0,0.95
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.564029,0.565017,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.54805,0.550291,1.0,1.0,1.0,0.8
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.544051,0.550313,1.0,0.8,0.4,0.3
paris,moulinrouge_3,moulinrouge,paris_moulinrouge_000657,237,103,6392,0.541697,0.542106,1.0,1.0,1.0,1.0
paris,sacrecoeur_1,sacrecoeur,paris_sacrecoeur_000162,149,152,6392,0.540519,0.541354,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.535631,0.536191,1.0,1.0,1.0,1.0
paris,moulinrouge_1,moulinrouge,paris_moulinrouge_000667,237,103,6392,0.531718,0.532112,1.0,1.0,1.0,1.0
paris,museedorsay_5,museedorsay,paris_museedorsay_000878,72,15,6392,0.531699,0.532553,1.0,1.0,1.0,0.95
paris,triomphe_3,triomphe,paris_triomphe_000135,281,164,6392,0.531334,0.53165,1.0,1.0,1.0,1.0
paris,triomphe_1,triomphe,paris_triomphe_000369,281,164,6392,0.525242,0.525507,1.0,1.0,1.0,1.0
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.513926,0.515169,1.0,1.0,1.0,1.0
paris,eiffel_4,eiffel,paris_general_002645,289,473,6392,0.512177,0.512549,1.0,1.0,1.0,1.0
paris,louvre_3,louvre,paris_louvre_000050,152,147,6392,0.503809,0.504452,1.0,1.0,1.0,1.0
paris,museedorsay_4,museedorsay,paris_museedorsay_000564,72,15,6392,0.499166,0.499923,1.0,1.0,1.0,0.95
paris,louvre_1,louvre,paris_louvre_000081,152,147,6392,0.474356,0.474981,1.0,1.0,1.0,1.0
paris,triomphe_5,triomphe,paris_defense_000038,281,164,6392,0.473978,0.474357,1.0,1.0,1.0,1.0
paris,louvre_4,louvre,paris_louvre_000035,152,147,6392,0.469453,0.470286,1.0,1.0,1.0,1.0
paris,eiffel_1,eiffel,paris_general_002985,289,473,6392,0.457465,0.457866,1.0,1.0,1.0,1.0
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.454369,0.458084,1.0,1.0,0.8,0.45
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.45,0.451838,1.0,1.0,1.0,0.85
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.44703,0.448013,1.0,1.0,1.0,1.0
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.434481,0.435753,1.0,1.0,0.5,0.25
paris,invalides_5,invalides,paris_invalides_000360,198,99,6392,0.433701,0.43425,1.0,1.0,1.0,1.0
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.429399,0.435344,1.0,0.6,0.4,0.2
paris,eiffel_2,eiffel,paris_general_001729,289,473,6392,0.426859,0.427334,1.0,1.0,1.0,1.0
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.421555,0.4227,1.0,1.0,1.0,0.95
paris,defense_3,defense,paris_defense_000216,117,116,6392,0.41891,0.419758,1.0,1.0,1.0,1.0
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.369871,0.372431,1.0,1.0,0.7,0.45
paris,sacrecoeur_5,sacrecoeur,paris_sacrecoeur_000437,149,152,6392,0.364295,0.365962,1.0,1.0,0.9,0.9
paris,notredame_5,notredame,paris_notredame_000581,119,112,6392,0.360981,0.362482,1.0,1.0,0.9,0.85
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.358702,0.368867,1.0,0.6,0.3,0.2
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.349091,0.353798,1.0,0.8,0.4,0.2
paris,defense_1,defense,paris_defense_000605,117,116,6392,0.345425,0.346428,1.0,1.0,1.0,0.95
paris,invalides_3,invalides,paris_invalides_000490,198,99,6392,0.340202,0.342013,1.0,0.8,0.8,0.9
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.321893,0.325662,1.0,1.0,0.7,0.4
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.31066,0.320075,1.0,0.4,0.3,0.15
paris,defense_4,defense,paris_defense_000056,117,116,6392,0.309495,0.310762,1.0,1.0,1.0,0.95
paris,eiffel_5,eiffel,paris_general_002391,289,473,6392,0.298441,0.299219,1.0,1.0,1.0,0.9
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.297722,0.302011,1.0,0.6,0.3,0.2
paris,triomphe_2,triomphe,paris_triomphe_000016,281,164,6392,0.294076,0.294382,1.0,1.0,1.0,1.0
paris,triomphe_4,triomphe,paris_triomphe_000149,281,164,6392,0.293362,0.293649,1.0,1.0,1.0,1.0
paris,invalides_1,invalides,paris_invalides_000355,198,99,6392,0.277092,0.278213,1.0,1.0,0.9,0.9
paris,defense_5,defense,paris_defense_000254,117,116,6392,0.27473,0.275893,1.0,1.0,1.0,0.85
paris,defense_2,defense,paris_defense_000331,117,116,6392,0.271688,0.272931,1.0,1.0,1.0,0.9
paris,invalides_2,invalides,paris_invalides_000072,198,99,6392,0.271611,0.2731,1.0,1.0,0.8,0.7
paris,louvre_5,louvre,paris_louvre_000139,152,147,6392,0.258178,0.259729,1.0,1.0,0.9,0.75
