dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_1,keble,keble_000245,7,4,5063,0.805318,0.81829,1.0,0.8,0.6,0.35
oxford,keble_5,keble,keble_000055,7,4,5063,0.785523,0.794414,1.0,0.8,0.6,0.3
oxford,keble_2,keble,keble_000214,7,4,5063,0.767674,0.782143,1.0,0.6,0.6,0.35
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.739602,0.742757,1.0,1.0,1.0,0.75
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.709088,0.709507,1.0,1.0,1.0,1.0
oxford,keble_3,keble,keble_000227,7,4,5063,0.68924,0.702445,1.0,0.6,0.6,0.3
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.660227,0.676055,1.0,0.8,0.5,0.25
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.650261,0.655748,1.0,1.0,0.8,0.7
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.6364,0.636836,1.0,1.0,1.0,1.0
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.630342,0.634027,1.0,1.0,1.0,0.55
oxford,keble_4,keble,keble_000028,7,4,5063,0.613373,0.633616,1.0,0.6,0.4,0.3
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.609595,0.615566,1.0,0.6,0.4,0.2
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.586698,0.58829,1.0,1.0,1.0,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.586407,0.588738,1.0,0.8,0.9,0.9
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.544881,0.546212,1.0,1.0,1.0,0.9
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.523273,0.536383,1.0,0.6,0.4,0.2
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.501983,0.50426,1.0,1.0,0.9,0.85
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.49918,0.500439,1.0,1.0,1.0,1.0
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.496491,0.510944,1.0,0.6,0.4,0.2
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.486139,0.48694,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.482052,0.482692,1.0,1.0,1.0,1.0
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.481442,0.487274,1.0,0.8,0.6,0.3
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.472291,0.492801,1.0,0.8,0.6,0.4
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.469379,0.470036,1.0,1.0,1.0,1.0
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.46016,0.461164,1.0,1.0,1.0,1.0
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.443808,0.449834,1.0,1.0,0.6,0.5
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.424961,0.425877,1.0,1.0,1.0,1.0
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.420411,0.421404,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.409443,0.411782,1.0,1.0,1.0,0.65
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.408711,0.409452,1.0,1.0,1.0,1.0
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.403419,0.40682,1.0,1.0,0.8,0.5
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.392108,0.414274,1.0,0.4,0.6,0.4
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.333232,0.338277,1.0,0.6,0.6,0.65
