dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.713012,0.713427,1.0,1.0,1.0,1.0
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.703325,0.706558,1.0,0.8,0.4,0.2
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.678485,0.679683,1.0,0.8,0.4,0.2
oxford,keble_5,keble,keble_000055,7,4,5063,0.655111,0.665868,1.0,0.8,0.4,0.3
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.640857,0.644263,1.0,1.0,1.0,0.55
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.639624,0.644841,1.0,0.8,0.4,0.2
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.634054,0.6377,1.0,1.0,0.9,0.65
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.572526,0.589053,1.0,0.6,0.4,0.25
oxford,keble_1,keble,keble_000245,7,4,5063,0.572217,0.604479,1.0,0.6,0.5,0.3
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.557804,0.559722,1.0,1.0,0.9,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.555987,0.557969,1.0,1.0,0.9,0.9
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.531212,0.542189,1.0,0.8,0.5,0.4
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.520235,0.520812,1.0,1.0,1.0,1.0
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.513356,0.514736,1.0,1.0,1.0,0.95
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.507985,0.513919,1.0,0.8,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.505278,0.520834,1.0,0.6,0.4,0.25
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.48938,0.491922,1.0,1.0,0.9,0.55
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.475768,0.476722,1.0,1.0,1.0,0.95
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.466179,0.468272,1.0,1.0,0.9,0.85
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.462347,0.46312,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.460113,0.460821,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.419035,0.421065,1.0,1.0,0.9,0.8
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.417605,0.418852,1.0,1.0,1.0,0.95
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.408963,0.40991,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.406274,0.407054,1.0,1.0,1.0,1.0
oxford,keble_4,keble,keble_000028,7,4,5063,0.405145,0.434557,1.0,0.6,0.3,0.25
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.403057,0.406778,1.0,1.0,0.8,0.45
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.39103,0.393757,1.0,1.0,0.9,0.7
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.376335,0.377658,1.0,1.0,1.0,0.95
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.3732,0.381491,1.0,0.6,0.4,0.3
oxford,keble_3,keble,keble_000227,7,4,5063,0.338157,0.360859,1.0,0.6,0.3,0.15
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.328285,0.340297,1.0,0.4,0.2,0.2
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.298515,0.305086,1.0,0.8,0.5,0.35
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.297446,0.30344,1.0,0.6,0.5,0.7
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.289231,0.291429,1.0,1.0,0.6,0.3
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.273808,0.278316,1.0,0.8,0.5,0.3
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.26537,0.266525,1.0,1.0,0.6,0.3
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.244599,0.247895,1.0,0.4,0.2,0.1
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.23604,0.237989,1.0,0.4,0.2,0.1
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.225038,0.230248,1.0,0.8,0.6,0.35
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.220327,0.225808,1.0,0.6,0.5,0.3
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.207707,0.221529,1.0,0.4,0.2,0.15
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.178773,0.182844,1.0,0.6,0.6,0.35
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.176233,0.188294,1.0,0.4,0.2,0.15
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.168901,0.169284,1.0,0.2,0.1,0.05
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.145263,0.151969,1.0,0.2,0.1,0.1
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.122609,0.126365,1.0,0.6,0.4,0.3
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.113045,0.11332,1.0,0.2,0.1,0.05
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.078357,0.081791,1.0,0.2,0.1,0.1
