dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.980867,0.982143,1.0,1.0,0.7,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.958759,0.961735,1.0,1.0,0.7,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.917971,0.924036,1.0,0.8,0.7,0.35
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.882797,0.885965,1.0,1.0,0.5,0.3
oxford,keble_1,keble,keble_000245,7,4,5063,0.858759,0.873639,1.0,0.8,0.7,0.35
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.834694,0.834817,1.0,1.0,0.5,0.25
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.812577,0.816194,1.0,0.8,0.5,0.25
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.755786,0.758875,1.0,1.0,1.0,0.75
oxford,keble_4,keble,keble_000028,7,4,5063,0.749294,0.768707,1.0,0.6,0.6,0.35
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.740632,0.745487,1.0,1.0,0.8,0.75
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.731358,0.73606,1.0,0.8,0.4,0.25
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.72328,0.724759,1.0,1.0,1.0,0.8
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.71448,0.719123,1.0,1.0,0.7,0.4
oxford,bodleian_1,bodleian,bodleian_000107,24,6,5063,0.711136,0.714386,1.0,1.0,0.9,0.7
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.70007,0.700702,1.0,1.0,1.0,1.0
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.679912,0.682894,1.0,1.0,1.0,0.6
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.664783,0.66513,1.0,1.0,1.0,1.0
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.661107,0.662224,1.0,1.0,1.0,0.95
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.6357,0.638164,1.0,1.0,0.7,0.35
oxford,bodleian_3,bodleian,bodleian_000108,24,6,5063,0.627771,0.631783,1.0,1.0,0.9,0.65
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.621001,0.622513,1.0,1.0,1.0,0.95
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.617153,0.617884,1.0,1.0,1.0,1.0
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.601389,0.602337,1.0,1.0,1.0,0.95
oxford,pitt_rivers_1,pitt_rivers,pitt_rivers_000033,6,2,5063,0.600579,0.61364,1.0,0.8,0.4,0.2
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.597703,0.598154,1.0,1.0,1.0,1.0
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.593253,0.594346,1.0,1.0,1.0,0.95
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.576169,0.576678,1.0,1.0,1.0,1.0
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.57379,0.575632,1.0,1.0,0.9,0.9
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.571883,0.572337,1.0,1.0,1.0,1.0
oxford,hertford_2,hertford,oxford_001752,54,7,5063,0.564029,0.565017,1.0,1.0,1.0,1.0
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.54805,0.550291,1.0,1.0,1.0,0.8
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.544051,0.550313,1.0,0.8,0.4,0.3
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.535631,0.536191,1.0,1.0,1.0,1.0
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.513926,0.515169,1.0,1.0,1.0,1.0
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.454369,0.458084,1.0,1.0,0.8,0.45
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.45,0.451838,1.0,1.0,1.0,0.85
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.44703,0.448013,1.0,1.0,1.0,1.0
oxford,balliol_2,balliol,balliol_000187,12,6,5063,0.434481,0.435753,1.0,1.0,0.5,0.25
oxford,cornmarket_4,cornmarket,oxford_000545,9,4,5063,0.429399,0.435344,1.0,0.6,0.4,0.2
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.421555,0.4227,1.0,1.0,1.0,0.95
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.369871,0.372431,1.0,1.0,0.7,0.45
oxford,cornmarket_3,cornmarket,cornmarket_000019,9,4,5063,0.358702,0.368867,1.0,0.6,0.3,0.2
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.349091,0.353798,1.0,0.8,0.4,0.2
oxford,ashmolean_4,ashmolean,ashmolean_000007,25,6,5063,0.321893,0.325662,1.0,1.0,0.7,0.4
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.31066,0.320075,1.0,0.4,0.3,0.15
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.297722,0.302011,1.0,0.6,0.3,0.2
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.227667,0.231672,1.0,0.8,0.8,0.5
oxford,ashmolean_3,ashmolean,ashmolean_000269,25,6,5063,0.219591,0.225088,1.0,0.6,0.3,0.3
oxford,cornmarket_2,cornmarket,cornmarket_000105,9,4,5063,0.119052,0.120432,1.0,0.2,0.1,0.05
oxford,magdalen_3,magdalen,magdalen_000058,54,49,5063,0.11337,0.116014,1.0,0.6,0.5,0.25
oxford,magdalen_5,magdalen,magdalen_000560,54,49,5063,0.094456,0.098584,1.0,0.2,0.1,0.2
oxford,magdalen_2,magdalen,oxford_003335,54,49,5063,0.077356,0.081605,1.0,0.4,0.3,0.2
oxford,magdalen_1,magdalen,magdalen_000078,54,49,5063,0.056472,0.057734,1.0,0.4,0.2,0.1
oxford,christ_church_5,christ_church,oxford_002562,78,55,5063,0.052349,0.053798,1.0,0.2,0.1,0.05
oxford,magdalen_4,magdalen,oxford_001115,54,49,5063,0.045296,0.047023,1.0,0.2,0.1,0.1
