dataset,query_id,landmark,query_image,num_positives,num_junk,num_retrieved,ap,ap_simple,p@1,p@5,p@10,p@20
oxford,keble_5,keble,keble_000055,7,4,5063,0.858969,0.865557,1.0,0.8,0.6,0.35
oxford,keble_2,keble,keble_000214,7,4,5063,0.841172,0.852381,1.0,0.8,0.6,0.35
oxford,keble_1,keble,keble_000245,7,4,5063,0.720795,0.7421,1.0,0.6,0.6,0.35
oxford,keble_3,keble,keble_000227,7,4,5063,0.708537,0.71627,1.0,0.8,0.5,0.3
oxford,pitt_rivers_2,pitt_rivers,pitt_rivers_000119,6,2,5063,0.672662,0.67327,1.0,0.8,0.4,0.2
oxford,pitt_rivers_3,pitt_rivers,pitt_rivers_000153,6,2,5063,0.646916,0.655965,1.0,0.6,0.4,0.25
oxford,radcliffe_camera_2,radcliffe_camera,oxford_002904,221,127,5063,0.622471,0.623008,1.0,1.0,1.0,1.0
oxford,pitt_rivers_5,pitt_rivers,pitt_rivers_000058,6,2,5063,0.57767,0.585134,1.0,0.6,0.3,0.2
oxford,bodleian_5,bodleian,bodleian_000163,24,6,5063,0.574795,0.578377,1.0,1.0,0.9,0.55
oxford,radcliffe_camera_3,radcliffe_camera,radcliffe_camera_000523,221,127,5063,0.538155,0.538793,1.0,1.0,1.0,1.0
oxford,balliol_1,balliol,balliol_000051,12,6,5063,0.528934,0.532257,1.0,1.0,0.6,0.3
oxford,christ_church_3,christ_church,christ_church_000999,78,55,5063,0.519658,0.521374,1.0,1.0,1.0,0.9
oxford,christ_church_2,christ_church,oxford_002734,78,55,5063,0.502155,0.503993,1.0,1.0,0.9,0.9
oxford,all_souls_4,all_souls,all_souls_000051,78,33,5063,0.49783,0.49876,1.0,1.0,1.0,1.0
oxford,radcliffe_camera_5,radcliffe_camera,bodleian_000132,221,127,5063,0.483712,0.484494,1.0,1.0,1.0,1.0
oxford,bodleian_2,bodleian,oxford_002416,24,6,5063,0.483276,0.488096,1.0,1.0,0.7,0.5
oxford,pitt_rivers_4,pitt_rivers,pitt_rivers_000087,6,2,5063,0.479958,0.493811,1.0,0.6,0.3,0.2
oxford,keble_4,keble,keble_000028,7,4,5063,0.473906,0.505348,1.0,0.4,0.4,0.3
oxford,christ_church_4,christ_church,christ_church_001020,78,55,5063,0.471484,0.472721,1.0,1.0,1.0,0.95
oxford,balliol_3,balliol,balliol_000167,12,6,5063,0.454763,0.464684,1.0,0.8,0.4,0.3
oxford,radcliffe_camera_1,radcliffe_camera,radcliffe_camera_000519,221,127,5063,0.419881,0.420667,1.0,1.0,1.0,1.0
oxford,hertford_1,hertford,hertford_000015,54,7,5063,0.415723,0.418124,1.0,1.0,1.0,0.65
oxford,bodleian_4,bodleian,bodleian_000407,24,6,5063,0.415048,0.418626,1.0,1.0,0.7,0.45
oxford,hertford_5,hertford,hertford_000063,54,7,5063,0.403508,0.406059,1.0,1.0,1.0,0.65
oxford,christ_church_1,christ_church,christ_church_000179,78,55,5063,0.402062,0.403848,1.0,1.0,0.9,0.9
oxford,balliol_4,balliol,balliol_000194,12,6,5063,0.39909,0.402346,1.0,0.8,0.5,0.25
oxford,all_souls_5,all_souls,oxford_003410,78,33,5063,0.39062,0.39212,1.0,1.0,1.0,0.9
oxford,balliol_5,balliol,oxford_001753,12,6,5063,0.390404,0.403396,1.0,0.6,0.4,0.3
oxford,radcliffe_camera_4,radcliffe_camera,radcliffe_camera_000095,221,127,5063,0.385172,0.386557,1.0,1.0,0.9,0.85
oxford,all_souls_3,all_souls,oxford_002985,78,33,5063,0.371656,0.372889,1.0,1.0,1.0,0.9
oxford,ashmolean_1,ashmolean,ashmolean_000058,25,6,5063,0.343562,0.348407,1.0,1.0,0.6,0.45
oxford,all_souls_2,all_souls,all_souls_000026,78,33,5063,0.33782,0.338966,1.0,1.0,1.0,0.9
oxford,hertford_4,hertford,hertford_000027,54,7,5063,0.32162,0.324554,1.0,1.0,0.8,0.6
oxford,cornmarket_1,cornmarket,cornmarket_000047,9,4,5063,0.289574,0.297953,1.0,0.4,0.3,0.15
oxford,cornmarket_5,cornmarket,cornmarket_000131,9,4,5063,0.275798,0.282782,1.0,0.4,0.2,0.2
oxford,ashmolean_2,ashmolean,ashmolean_000000,25,6,5063,0.268719,0.270707,1.0,1.0,0.6,0.3
oxford,hertford_3,hertford,oxford_000317,54,7,5063,0.265157,0.269361,1.0,0.8,0.7,0.6
oxford,all_souls_1,all_souls,all_souls_000013,78,33,5063,0.23459,0.238269,1.0,0.8,0.6,0.5
oxford,ashmolean_5,ashmolean,ashmolean_000305,25,6,5063,0.232792,0.236966,1.0,0.8,0.5,0.3
